,player,total_workers,total_army,fraction,winner,replay_filename
1259,PiLiPiLi,28,1425,P,0,replays/firstRun\7a0bf3811a434b3aa4a4d8bebb4f07f7.SC2Replay
1260,Zest,40,175,P,1,replays/firstRun\7a0bf3811a434b3aa4a4d8bebb4f07f7.SC2Replay
1261,DnS,45,925,P,1,replays/firstRun\7a4c3d5503bd4378a3220be892fdb882.SC2Replay
1262,EnDerr,44,2300,Z,0,replays/firstRun\7a4c3d5503bd4378a3220be892fdb882.SC2Replay
1263,Nice,23,950,P,1,replays/firstRun\7a574c19b3e94d059db053bc1eb47eae.SC2Replay
1264,NeXa,22,600,P,0,replays/firstRun\7a574c19b3e94d059db053bc1eb47eae.SC2Replay
1265,liquidthermy,50,3725,T,1,replays/firstRun\7a59d4b27a1143e0a5bb866c97a10aef.SC2Replay
1266,llllllllllll,60,550,P,0,replays/firstRun\7a59d4b27a1143e0a5bb866c97a10aef.SC2Replay
1267,Zest,62,2450,P,0,replays/firstRun\7a63fd28792242bdb4291e6f99fbfe7e.SC2Replay
1268,TYTY,51,3550,T,1,replays/firstRun\7a63fd28792242bdb4291e6f99fbfe7e.SC2Replay
1269,SpeCial,44,1650,T,1,replays/firstRun\7a86c787e10b4cb6906379d927b8afc4.SC2Replay
1270,ShoWTimE,42,1225,P,0,replays/firstRun\7a86c787e10b4cb6906379d927b8afc4.SC2Replay
1271,MaNa,68,1050,P,1,replays/firstRun\7a9b2e05646f47f98ee113161863fb2c.SC2Replay
1272,Semper,53,2550,T,0,replays/firstRun\7a9b2e05646f47f98ee113161863fb2c.SC2Replay
1273,Pokebunny,44,1375,T,1,replays/firstRun\7ab0d1fc42694b07b2149a72dc21499f.SC2Replay
1274,Ghost,37,1875,T,0,replays/firstRun\7ab0d1fc42694b07b2149a72dc21499f.SC2Replay
1275,MaSa,61,3475,T,0,replays/firstRun\7abbe6f766ce48b0b254f216aa13cf0d.SC2Replay
1276,KoMA,67,3675,T,1,replays/firstRun\7abbe6f766ce48b0b254f216aa13cf0d.SC2Replay
1277,Namshar,27,900,Z,1,replays/firstRun\7ad0ea1739844de2ba9791a1e0235160.SC2Replay
1278,GAMETIME,17,1475,Z,0,replays/firstRun\7ad0ea1739844de2ba9791a1e0235160.SC2Replay
1279,MaNa,42,600,P,0,replays/firstRun\7ad159ceddb04536ad8786918fcd77f2.SC2Replay
1280,Lambo,49,4175,Z,1,replays/firstRun\7ad159ceddb04536ad8786918fcd77f2.SC2Replay
1281,GOStephano,77,9025,Z,0,replays/firstRun\7aef181f88a24782951af855ab5e1578.SC2Replay
1282,HellraiseR,74,3650,P,1,replays/firstRun\7aef181f88a24782951af855ab5e1578.SC2Replay
1283,Semper,71,3275,T,1,replays/firstRun\7af805bd3d614bea87015d6e983af382.SC2Replay
