,player,total_workers,total_army
121,Malcolm,19,1850
122,AxImpact,56,2150
123,SortOf,35,1600
124,Serral,32,1375
125,Serral,19,300
126,Lambo,15,700
127,MightyKiwi,58,5325
128,LiquidSnute,12,100
129,SirRobin,74,3975
130,GOStephano,61,9650
131,Scarlett,65,2475
132,FoolOfaTook,44,2500
133,Nerchio,37,3800
134,Zanster,27,2200
135,CatZ,48,2300
136,GOStephano,43,9750
137,Lambo,47,10850
138,Lambo,66,3475
139,Namshar,52,2650
140,SortOf,65,2225
141,Hydra,68,5875
142,Nerchio,33,1150
143,viOLet,29,1275
144,iGXiGua,17,725
145,ZooWhaleTail,13,1125
146,Serral,69,17500
147,Elazer,69,3750
148,Petraeus,29,1500
149,PiG,28,1525
150,Matiz,78,11775
151,FireCake,22,825
152,eonblu,31,900
153,SortOf,69,3975
154,Denver,64,11675
155,Nerchio,52,1900
156,Elazer,65,4950
157,Namshar,68,3900
158,Elazer,47,4150
159,Scarlett,46,3375
160,RiSky,81,6300
161,SirRobin,54,1925
162,LiquidSnute,63,9400
163,aAaMiNiMaTh,69,10175
164,Crimson,40,2550
165,Neuro,19,650
166,daydrA,21,950
167,BLY,59,6750
168,LiquidSnute,78,4600
169,Crimson,66,4250
170,TooDming,78,3550
171,YoGo,34,2675
172,ZhuGeLiang,48,2350
173,PandaBearMe,32,1275
174,Livibee,31,900
175,Elazer,41,5125
176,Hydra,47,3400
177,TRUE,14,1500
178,TLO,17,1400
179,SortOf,50,1800
180,Lambo,31,2525
181,TSGSolar,42,1800
182,FireCake,12,100
183,Elazer,74,10450
184,Serral,67,9850
185,FireCake,35,4350
186,Lambo,66,4250
187,BLY,50,3375
188,JonSnow,80,7625
189,Serral,40,1550
190,soO,42,1450
191,SortOf,55,2450
192,PandaBearMe,17,850
193,Livibee,26,850
194,Rex,57,5375
195,Denver,68,5650
196,Nerchio,28,1000
197,Malcolm,23,1050
198,PandaBearMe,67,2925
199,Sen,43,1150
200,Elazer,75,2725
201,Lambo,69,7475
202,Elroye,20,775
203,Zanster,77,12000
204,TRUE,41,1125
205,Nerchio,43,1500
206,PandaBearMe,74,11175
207,Jig,76,12050
208,SortOf,74,4250
209,Denver,46,1500
210,eGGz,30,625
211,GogojOey,31,1050
212,Serral,70,6675
213,SouLeer,64,6300
214,LiquidTLO,13,1050
215,Lambo,20,825
216,iAsonu,68,5325
217,Guru,20,750
218,GAMETIME,52,2475
219,Solar,61,2750
220,RiSky,60,8350
221,eonblu,59,7250
222,SouLeer,61,3150
223,Namshar,34,1375
224,GAMETIME,35,1225
225,Reynor,83,5450
226,RiSky,50,2725
227,PandaBearMe,31,1550
228,MightyKiwi,38,2050
229,Solar,59,3500
230,TLO,69,3200
231,PandaBearMe,71,2425
232,miwa,28,2425
233,Serral,43,1025
234,Lambo,33,1800
235,LiquidTLO,55,7450
236,BLY,60,8550
237,TSGSolar,51,2125
238,TooDming,28,775
239,Lambo,65,11750
240,Solar,17,500
241,Scarlett,20,550
242,SortOf,14,1200
243,Snute,42,1750
244,RlSky,22,550
245,SouLeer,16,750
246,Serral,68,6850
247,Serral,38,2525
248,Elazer,30,3600
249,Snute,33,1600
250,NoRegreT,26,1400
251,iGXiGua,45,3050
252,PandaBearMe,12,100
253,Guru,33,1900
254,Namshar,29,1075
255,Elazer,44,1875
256,Stephano,38,3575
257,Lambo,70,4375
258,JonSnow,59,4700
259,Serral,63,4225
260,Bly,33,1950
261,Petraeus,68,2400
262,Cham,64,7850
263,MDStephano,63,8050
264,soO,49,2775
265,Bly,29,2050
266,Scarlett,43,2125
267,Serral,50,1550
268,Rex,48,5725
269,Soulkey,56,6250
270,TRUE,37,2250
271,Nerchio,31,2200
272,daydrA,36,950
273,Nerchio,75,7850
274,Nerchio,30,1825
275,GoGojOey,27,2050
276,Nerchio,62,10550
277,Impact,62,7850
278,Lambo,56,4375
279,TSGSolar,38,2075
280,soO,36,1900
281,Matiz,79,13950
282,Zanster,25,2325
283,soO,31,2100
284,eonblu,52,1225
285,Dark,41,5200
286,Jig,75,2000
287,Gremory,41,1125
288,Namshar,35,2800
289,Scarlett,69,4275
290,Bly,75,7075
291,Stephano,57,1600
292,Crow,45,1950
293,JonSnow,49,3050
294,SortOf,43,1725
295,Elazer,45,1950
296,Zanster,54,3275
297,GAMETIME,62,5025
298,Nerchio,73,8025
299,LiquidTLO,42,1325
300,Namshar,76,8250
301,Serral,70,4425
302,LiquidTLO,60,3925
303,Guru,84,8800
304,Rose,50,1425
305,TRUE,34,2850
306,PandaBearMe,34,1525
307,Elazer,63,3200
308,iGiA,65,4600
309,eonblu,49,2100
310,Lambo,74,11050
311,BLY,24,1750
312,Nerchio,20,450
313,TRUE,18,550
314,Toodming,23,1350
315,Cham,57,4025
316,Snute,58,14425
317,PandaBearMe,67,2175
318,Namshar,73,5500
319,TRUE,76,10500
320,MeomaikA,52,2000
321,Crimson,45,1675
322,Namshar,57,2725
323,YoGo,35,3075
324,Solar,43,3175
325,viOLet,65,7400
326,EnDerr,60,9150
327,Hydra,64,8250
328,Guru,43,1375
329,Cham,53,5200
330,Erik,50,1900
331,SortOf,44,4000
332,JonSnow,65,6950
333,Nerchio,69,7400
334,JonSnow,39,1300
335,SortOf,63,4775
336,Nerchio,66,4075
337,Snute,76,10300
338,Xaoras,59,5450
339,Mamba,44,1125
340,LiquidSnute,51,1725
341,Elazer,37,1625
342,Snute,65,3300
343,Cham,71,4675
344,Scarlett,67,6625
345,BLY,41,1575
346,LiquidSnute,44,1950
347,TRUE,33,1175
348,Cham,40,1700
349,Scarlett,24,1850
350,GAMETIME,51,1200
351,Lambo,87,8600
352,Snute,52,3950
353,Lambo,78,4075
354,SortOf,44,1750
355,SouLeer,26,1550
356,Lambo,61,12900
357,Snute,46,5550
358,Elazer,56,3750
359,Scarlett,66,10300
360,Serral,68,8500
361,Zanster,25,1325
362,Wilo,32,900
363,Solar,63,4375
364,Elazer,58,4850
365,Zanster,59,6950
366,JonSnow,34,1125
367,viOLet,39,1100
368,Petraeus,50,2250
369,PiG,49,1550
370,soO,67,10325
371,TSGSolar,62,9000
372,ZergGirl,22,1400
373,Snute,49,4900
374,Snute,21,300
375,Serral,40,2950
376,Elazer,84,7500
377,Elazer,43,1200
378,Snute,69,10800
379,Zanster,82,10700
380,Nerchio,27,1225
381,Mackintac,25,1100
382,Lambo,62,2400
383,Elazer,51,3350
384,Zanster,52,5250
385,Nerchio,43,2100
386,SouLeer,25,2450
387,RiSky,37,2025
388,losira,39,1425
389,Lambo,26,2500
390,Solar,18,450
391,Lambo,72,6350
392,Reynor,77,4275
393,GOStephano,75,7275
394,Elazer,80,6600
395,Zanster,42,1050
396,viOLet,25,3025
397,JonSnow,69,4425
398,SortOf,73,4250
399,Scarlett,53,1275
400,Demi,65,10225
401,MeomaikA,67,8750
402,Nerchio,79,9450
403,Cham,67,2800
404,Wilo,62,2700
405,GOStephano,57,3225
406,ViBE,41,1350
407,Allaryce,29,1075
408,TheWagon,74,7200
409,Solar,49,1900
410,LiquidSnute,48,1025
411,Bly,32,1100
412,Namshar,39,1275
413,Rose,28,925
414,Lambo,83,13550
415,BLY,59,3200
416,LiquidSnute,32,1075
417,Lambo,24,1350
418,GOStephano,78,10575
419,TheWagon,50,6000
420,RlSky,50,1775
421,GAMETIME,19,1500
422,PiG,33,1250
423,hydra,69,9550
424,PengWin,52,3450
425,Elazer,67,8650
426,LiquidSnute,35,1950
