,player,total_workers,resource_mining,total_army_value,total_army,supply,time,fraction,winner,replay_filename
7865,Zanster,20,2970,900,10.0,36.0,228,Zerg,1,replays/all\9ec83471e9e64cdb8ea6dbb08118bbd2.SC2Replay
7866,Reynor,31,5322,1200,13.0,44.0,323,Zerg,0,replays/all\9ecdd3f3bf4142e184df37658094afaf.SC2Replay
7867,Bly,29,8148,1525,15.5,52.0,328,Zerg,1,replays/all\9ecdd3f3bf4142e184df37658094afaf.SC2Replay
7868,Cure,41,6932,1050,18.0,61.0,384,Terraner,1,replays/all\9ed7031a721b44059d18e78e29b2c1fd.SC2Replay
7869,RagnaroK,45,7395,1700,15.0,74.0,398,Zerg,0,replays/all\9ed7031a721b44059d18e78e29b2c1fd.SC2Replay
7870,Elazer,30,8821,3700,50.0,84.0,447,Zerg,0,replays/all\9efdfd1b996942e887e465ca3eb826ae.SC2Replay
7871,TSGSolar,38,11374,3450,43.0,90.0,447,Zerg,1,replays/all\9efdfd1b996942e887e465ca3eb826ae.SC2Replay
7872,Solar,53,18318,8150,93.0,194.0,705,Zerg,0,replays/all\9efef21a3368475b82c77c57593fe952.SC2Replay
7873,Zest,50,30190,2550,29.0,157.0,677,Protoss,1,replays/all\9efef21a3368475b82c77c57593fe952.SC2Replay
7874,Jig,72,32591,8100,76.0,178.0,772,Zerg,1,replays/all\9f0b75695a5445ab902f0bcecde5b673.SC2Replay
7875,PengWin,55,43802,8225,68.5,200.0,818,Zerg,0,replays/all\9f0b75695a5445ab902f0bcecde5b673.SC2Replay
7876,Harstem,67,25738,1625,18.0,125.0,659,Protoss,0,replays/all\9f12a1bfc0b6428f95378a6c9194b4e7.SC2Replay
7877,Serral,69,21406,6150,61.0,154.0,684,Zerg,1,replays/all\9f12a1bfc0b6428f95378a6c9194b4e7.SC2Replay
7878,Reynor,44,12442,2425,27.5,82.0,441,Zerg,0,replays/all\9f19de790b194450893a40a018d6273d.SC2Replay
7879,Trap,38,9568,625,8.0,78.0,437,Protoss,1,replays/all\9f19de790b194450893a40a018d6273d.SC2Replay
7880,GOStephano,56,18542,5925,69.5,170.0,574,Zerg,0,replays/all\9f2897645a27497fa6730cf71bd0105f.SC2Replay
