,player,total_workers,resource_mining,total_army_value,total_army,supply,time,fraction,winner,replay_filename
3228,Lambo,55,7548,1800,15.0,74.0,438,Zerg,1,replays/4thRun\91d1470afdbc49cba7bc93aef04d14f7.SC2Replay
3229,Zest,45,9539,1000,11.0,62.0,421,Protoss,0,replays/4thRun\91d1470afdbc49cba7bc93aef04d14f7.SC2Replay
3230,Bails,74,23564,2800,29.0,172.0,735,Protoss,0,replays/4thRun\91d480178cb84f91ba309d809a2ed371.SC2Replay
3231,BLY,77,23986,5600,54.0,174.0,666,Zerg,1,replays/4thRun\91d480178cb84f91ba309d809a2ed371.SC2Replay
3232,Serral,62,27592,8800,111.0,210.0,799,Zerg,1,replays/4thRun\91d591a3d6bc4e58889b387875d4805d.SC2Replay
3233,Dark,69,27441,6550,74.0,186.0,772,Zerg,0,replays/4thRun\91d591a3d6bc4e58889b387875d4805d.SC2Replay
3234,SpeCial,63,34328,7700,111.0,189.0,908,Terraner,1,replays/4thRun\91ed066927ec4b198a4d00406c933571.SC2Replay
3235,iAsonu,69,40061,9375,124.5,166.0,897,Zerg,0,replays/4thRun\91ed066927ec4b198a4d00406c933571.SC2Replay
3236,NonY,30,6168,1000,11.0,54.0,343,Protoss,1,replays/4thRun\92af88a43d074341b79abac96812e1c8.SC2Replay
3237,xKawaiian,27,8104,1125,18.0,55.0,359,Terraner,0,replays/4thRun\92af88a43d074341b79abac96812e1c8.SC2Replay
3238,PtitDrogo,69,23689,1150,13.0,125.0,631,Protoss,1,replays/4thRun\92c2d2ee67884448aa9d3bb495da058a.SC2Replay
3239,MarineLorD,63,19783,2525,40.0,125.0,639,Terraner,0,replays/4thRun\92c2d2ee67884448aa9d3bb495da058a.SC2Replay
3240,Harstem,55,21979,2075,24.0,165.0,723,Protoss,0,replays/4thRun\92c40c4ff9bb4b19893d730515603c82.SC2Replay
3241,MaSa,44,14496,5325,85.0,150.0,724,Terraner,1,replays/4thRun\92c40c4ff9bb4b19893d730515603c82.SC2Replay
3242,eGGz,20,2382,200,0.0,22.0,171,Zerg,0,replays/4thRun\92d3c5306766485fa92aca362773cde5.SC2Replay
3243,Stephano,13,2539,500,6.0,22.0,180,Zerg,1,replays/4thRun\92d3c5306766485fa92aca362773cde5.SC2Replay
3244,Namshar,25,3662,700,6.0,36.0,248,Zerg,1,replays/4thRun\92e8675f741145679d849061f3027999.SC2Replay
3245,Serphim,22,3867,325,4.0,31.0,216,Protoss,0,replays/4thRun\92e8675f741145679d849061f3027999.SC2Replay
3246,Bunny,53,15602,1925,30.0,85.0,556,Terraner,1,replays/4thRun\93a61d1ba2674f8caa04c91bc13b1c34.SC2Replay
3247,eonblu,59,11925,2375,23.5,90.0,560,Zerg,0,replays/4thRun\93a61d1ba2674f8caa04c91bc13b1c34.SC2Replay
3248,Zanster,57,6350,3350,30.0,106.0,452,Zerg,1,replays/4thRun\93b401766abd4db4961b757fb93bdbe0.SC2Replay
3249,Sevnin,47,11633,650,8.0,70.0,452,Protoss,0,replays/4thRun\93b401766abd4db4961b757fb93bdbe0.SC2Replay
3250,Serral,21,3635,825,8.5,36.0,258,Zerg,0,replays/4thRun\93cd2715d6394ca29d5f87b185db148a.SC2Replay
3251,liquidthermy,17,2512,300,3.0,23.0,212,Terraner,1,replays/4thRun\93cd2715d6394ca29d5f87b185db148a.SC2Replay
3252,Lambo,12,85,100,0.0,14.0,15,Zerg,0,replays/4thRun\93d640264b3c4c2586f37f790062f94d.SC2Replay
3253,A.I. 1 (Very Easy),13,80,0,0.0,15.0,18,0,1,replays/4thRun\93d640264b3c4c2586f37f790062f94d.SC2Replay
3254,DnS,44,7904,1000,12.0,70.0,438,Protoss,1,replays/4thRun\93f312acd48b44f38193711865046d7d.SC2Replay
3255,SortOf,46,9976,1300,12.0,58.0,438,Zerg,0,replays/4thRun\93f312acd48b44f38193711865046d7d.SC2Replay
3256,MarineLorD,27,4996,250,4.0,46.0,278,Terraner,1,replays/4thRun\93fbba92abf44fc3b7dd43d2f401fb16.SC2Replay
3257,Nerchio,31,3613,850,6.0,44.0,276,Zerg,0,replays/4thRun\93fbba92abf44fc3b7dd43d2f401fb16.SC2Replay
3258,soul,76,36095,5800,86.0,196.0,961,Terraner,0,replays/4thRun\93fe07b0f86e46abb3bd801d69361732.SC2Replay
3259,Zanster,79,65532,7650,73.0,174.0,996,Zerg,1,replays/4thRun\93fe07b0f86e46abb3bd801d69361732.SC2Replay
3260,Nerchio,59,20547,11275,141.5,234.0,864,Zerg,1,replays/4thRun\93fe611c06254c01a3ce85aa31df864e.SC2Replay
3261,BLY,62,33534,10700,135.0,208.0,859,Zerg,0,replays/4thRun\93fe611c06254c01a3ce85aa31df864e.SC2Replay
3262,Dark,19,4263,600,7.0,42.0,262,Zerg,1,replays/4thRun\94a4c62d4bb145de9b35490c08c89454.SC2Replay
3263,ShoWTimE,24,3568,500,8.0,46.0,260,Protoss,0,replays/4thRun\94a4c62d4bb145de9b35490c08c89454.SC2Replay
3264,lIIllllIIlll,70,23196,4375,69.0,157.0,767,Terraner,1,replays/4thRun\94a8d0362ec24147b34393a517f5b70c.SC2Replay
3265,FanTaSy,59,19438,3800,48.0,117.0,658,Terraner,0,replays/4thRun\94a8d0362ec24147b34393a517f5b70c.SC2Replay
3266,Nerchio,63,17119,6125,78.5,138.0,705,Zerg,0,replays/4thRun\94cef2c84cec4490a5e3014b12b584ec.SC2Replay
3267,viOLet,63,21002,6375,80.5,186.0,710,Zerg,1,replays/4thRun\94cef2c84cec4490a5e3014b12b584ec.SC2Replay
3268,Namshar,63,16398,5900,65.0,154.0,606,Zerg,1,replays/4thRun\94e0e6960e0e43f0a254c095991c6bc2.SC2Replay
3269,YoGo,41,13773,4050,54.0,114.0,602,Zerg,0,replays/4thRun\94e0e6960e0e43f0a254c095991c6bc2.SC2Replay
3270,Elazer,80,31314,5100,48.0,158.0,692,Zerg,0,replays/4thRun\94ff55e7ecce4d27a62470c831fc44e3.SC2Replay
3271,HeRoMaRinE,76,26665,3850,64.0,157.0,708,Terraner,1,replays/4thRun\94ff55e7ecce4d27a62470c831fc44e3.SC2Replay
3272,lIIllllIIlll,23,5153,550,8.0,31.0,276,Terraner,1,replays/4thRun\95b7cf5ae74b4a9fb8b7101139679c53.SC2Replay
3273,liquidthermy,23,3212,300,4.0,31.0,227,Protoss,0,replays/4thRun\95b7cf5ae74b4a9fb8b7101139679c53.SC2Replay
3274,TLO,46,4780,1550,13.0,74.0,379,Zerg,1,replays/4thRun\95c2c9721f074844bc7169c8b1cf0693.SC2Replay
3275,Alexander,32,6949,700,13.0,62.0,364,Terraner,0,replays/4thRun\95c2c9721f074844bc7169c8b1cf0693.SC2Replay
3276,SortOf,61,14599,3450,28.0,114.0,603,Zerg,0,replays/4thRun\95d4c5658a95470c9421666989461d4b.SC2Replay
3277,DnS,62,21708,1225,13.0,117.0,603,Protoss,1,replays/4thRun\95d4c5658a95470c9421666989461d4b.SC2Replay
3278,Impact,40,16649,4725,58.5,114.0,569,Zerg,1,replays/4thRun\95dd60cd75284c85ac77f6a470e633ab.SC2Replay
3279,Bunny,58,27923,3825,51.0,141.0,768,Terraner,0,replays/4thRun\95dd60cd75284c85ac77f6a470e633ab.SC2Replay
3280,HeroMarine,66,35773,8650,125.0,204.0,981,Terraner,1,replays/4thRun\95df6a7a8fb64b0a84a47a09ca035f2e.SC2Replay
3281,Dayshi,67,30216,6850,102.0,173.0,979,Terraner,0,replays/4thRun\95df6a7a8fb64b0a84a47a09ca035f2e.SC2Replay
3282,Dayshi,74,55243,6000,82.0,234.0,1069,Terraner,1,replays/4thRun\95fb9b0dc8cb4125a4a3a56fb8f09368.SC2Replay
3283,Nerchio,73,89328,11950,118.0,262.0,1047,Zerg,0,replays/4thRun\95fb9b0dc8cb4125a4a3a56fb8f09368.SC2Replay
3284,Clem,50,13859,2875,30.0,101.0,557,Terraner,1,replays/4thRun\96af17ba03654518b48ca6da2091c785.SC2Replay
3285,InZaNe,48,12439,2300,28.0,86.0,555,Terraner,0,replays/4thRun\96af17ba03654518b48ca6da2091c785.SC2Replay
3286,ZooWhaleTail,61,23130,3000,37.0,120.0,754,Zerg,1,replays/4thRun\96c1f9adba8f4242b8b3a49850cbef33.SC2Replay
3287,Jieshi,59,39568,6175,63.0,173.0,1107,Protoss,0,replays/4thRun\96c1f9adba8f4242b8b3a49850cbef33.SC2Replay
3288,MaNa,52,18263,2175,20.0,93.0,559,Protoss,0,replays/4thRun\96d8423004b341c6bc1cd5580f99c4c3.SC2Replay
3289,uThermal,52,16061,1400,28.0,94.0,571,Terraner,1,replays/4thRun\96d8423004b341c6bc1cd5580f99c4c3.SC2Replay
3290,Neeblet,47,12337,1000,11.0,78.0,450,Protoss,1,replays/4thRun\96e6b42862254e19b1639b5dabed80fa.SC2Replay
3291,SortOf,63,8925,1750,14.0,82.0,466,Zerg,0,replays/4thRun\96e6b42862254e19b1639b5dabed80fa.SC2Replay
3292,MaNa,12,50,0,0.0,15.0,0,Protoss,0,replays/4thRun\96e7a915e82a4bfe8ba15b42d7579ed0.SC2Replay
3293,Has,12,50,0,0.0,15.0,0,Terraner,1,replays/4thRun\96e7a915e82a4bfe8ba15b42d7579ed0.SC2Replay
3294,Serral,63,45705,13050,144.0,218.0,1116,Zerg,1,replays/4thRun\96e9e1796a48439ba5ecc594f280539f.SC2Replay
3295,Elazer,59,89804,11650,140.0,200.0,1223,Zerg,0,replays/4thRun\96e9e1796a48439ba5ecc594f280539f.SC2Replay
3296,INnoVation,71,20868,4475,54.0,149.0,691,Terraner,1,replays/4thRun\97a2e1f1c6c648899828aa54946e457c.SC2Replay
3297,Ryung,67,22928,3850,52.0,141.0,689,Terraner,0,replays/4thRun\97a2e1f1c6c648899828aa54946e457c.SC2Replay
3298,Namshar,67,36206,9100,98.0,182.0,821,Zerg,0,replays/4thRun\97e8d7145a5443ccb9497b17670b7956.SC2Replay
3299,Kelazhur,75,44319,5700,89.0,173.0,805,Terraner,1,replays/4thRun\97e8d7145a5443ccb9497b17670b7956.SC2Replay
3300,SortOf,43,4928,1150,10.0,50.0,340,Zerg,1,replays/4thRun\98a063827b034efaa634e8a137c848a2.SC2Replay
3301,RAIL,34,5112,850,10.0,54.0,337,Protoss,0,replays/4thRun\98a063827b034efaa634e8a137c848a2.SC2Replay
3302,JJAKJI,24,6954,1075,15.0,47.0,364,Terraner,1,replays/4thRun\98a11f40d0d540c785bc980488d9f127.SC2Replay
3303,Zest,23,4960,450,6.0,31.0,255,Protoss,0,replays/4thRun\98a11f40d0d540c785bc980488d9f127.SC2Replay
3304,HellraiseR,38,9298,825,10.0,70.0,401,Protoss,0,replays/4thRun\98a7fd2deaa34ffe85aaaa1846a94666.SC2Replay
3305,soO,46,9015,2475,26.5,82.0,424,Zerg,1,replays/4thRun\98a7fd2deaa34ffe85aaaa1846a94666.SC2Replay
3306,Lambo,60,10756,1975,12.5,106.0,480,Zerg,1,replays/4thRun\98a957ebb0dd482eac43160e2e243b6c.SC2Replay
3307,Zest,40,10817,800,9.0,86.0,454,Protoss,0,replays/4thRun\98a957ebb0dd482eac43160e2e243b6c.SC2Replay
3308,Lambo,14,3275,550,7.0,22.0,195,Zerg,1,replays/4thRun\98bd80af9a9349fc86841bb7dc19d9eb.SC2Replay
3309,soO,18,3320,500,4.0,36.0,207,Zerg,0,replays/4thRun\98bd80af9a9349fc86841bb7dc19d9eb.SC2Replay
3310,MaNa,62,26797,1025,11.0,165.0,684,Protoss,1,replays/4thRun\98ce88bcfa9141bd8ba6d712b6cd1c18.SC2Replay
3311,Expect,48,20408,3825,60.0,110.0,617,Terraner,0,replays/4thRun\98ce88bcfa9141bd8ba6d712b6cd1c18.SC2Replay
3312,Namshar,62,39006,6600,81.0,176.0,760,Zerg,1,replays/4thRun\98d1671482534017a2daf54abc94d388.SC2Replay
3313,Denver,63,20543,6350,85.0,152.0,760,Zerg,0,replays/4thRun\98d1671482534017a2daf54abc94d388.SC2Replay
3314,Lambo,76,19458,6075,50.5,144.0,654,Zerg,1,replays/4thRun\98d308802f524021a5571080b93d870e.SC2Replay
3315,SpeCial,55,20840,3025,46.0,133.0,657,Terraner,0,replays/4thRun\98d308802f524021a5571080b93d870e.SC2Replay
3316,Optimus,54,17867,2125,33.0,117.0,644,Terraner,1,replays/4thRun\98ebe1785cb9407898e9882f516d8e92.SC2Replay
3317,Socke,49,24273,1225,13.0,78.0,639,Protoss,0,replays/4thRun\98ebe1785cb9407898e9882f516d8e92.SC2Replay
3318,Damrud,60,43462,8050,73.0,152.0,799,Zerg,0,replays/4thRun\99b0634e7ba0441b8a1c50ed0715ff35.SC2Replay
3319,Mamba,58,30920,8400,98.0,162.0,781,Zerg,1,replays/4thRun\99b0634e7ba0441b8a1c50ed0715ff35.SC2Replay
3320,ShaDoWn,29,8073,1075,12.0,54.0,345,Protoss,1,replays/4thRun\99bec8996dbe413ca9e532360fa3890c.SC2Replay
3321,Buster,24,5676,400,7.0,39.0,312,Terraner,0,replays/4thRun\99bec8996dbe413ca9e532360fa3890c.SC2Replay
3322,PtitDrogo,43,5924,700,8.0,62.0,361,Protoss,1,replays/4thRun\99c4695fc4a34151ba561ddbf2ed69e3.SC2Replay
3323,Kas,36,7872,1750,25.0,70.0,401,Terraner,0,replays/4thRun\99c4695fc4a34151ba561ddbf2ed69e3.SC2Replay
3324,Patience,29,6490,600,8.0,39.0,261,Protoss,0,replays/4thRun\99d98a0517544d2f85af5023f9f86d32.SC2Replay
3325,LiquidMaNa,25,4774,600,8.0,39.0,251,Protoss,1,replays/4thRun\99d98a0517544d2f85af5023f9f86d32.SC2Replay
3326,PartinG,45,13131,475,5.0,70.0,429,Protoss,1,replays/4thRun\99e638eb9b5d4ee784efcfc08388f609.SC2Replay
3327,Zanster,35,9132,3625,35.5,90.0,458,Zerg,0,replays/4thRun\99e638eb9b5d4ee784efcfc08388f609.SC2Replay
3328,uThermal,25,3721,600,6.0,39.0,266,Terraner,1,replays/tsRun\008796e8147b4c24badbf44afbff07cc.SC2Replay
