,player,total_workers,resource_mining,total_army_value,total_army,time,fraction,winner,replay_filename
266,lIIllllIIlll,47,11208,3375,45,558,T,1,replays/2ndRun\5efb131118cf4086816611fbd10a0170.SC2Replay
267,Creature,54,18604,1800,8,599,P,0,replays/2ndRun\5efcb9b79d4e4aa0944777a7309a9d4a.SC2Replay
268,HuShang,46,15934,2250,12,559,P,1,replays/2ndRun\5efcb9b79d4e4aa0944777a7309a9d4a.SC2Replay
269,Scarlett,21,4368,925,18,266,Z,1,replays/2ndRun\5f104596674145709a0d8a4487ad6950.SC2Replay
270,FeaR,27,5277,350,3,241,P,0,replays/2ndRun\5f104596674145709a0d8a4487ad6950.SC2Replay
271,Stats,46,13026,1475,8,525,P,1,replays/2ndRun\5f1a2fbd7e684863940e89a2c700f425.SC2Replay
272,Neeb,45,14523,1325,7,517,P,0,replays/2ndRun\5f1a2fbd7e684863940e89a2c700f425.SC2Replay
273,daydrA,36,13128,1800,20,556,Z,0,replays/2ndRun\5f2cbbd244774d298d1a7e35565f24a7.SC2Replay
274,Harstem,44,11209,1000,5,549,P,1,replays/2ndRun\5f2cbbd244774d298d1a7e35565f24a7.SC2Replay
275,Nerchio,15,3879,950,19,294,Z,1,replays/2ndRun\5f4869f4469a44f29a79e01e9fc0a9c2.SC2Replay
276,MarineLorD,19,3111,500,5,260,T,0,replays/2ndRun\5f4869f4469a44f29a79e01e9fc0a9c2.SC2Replay
277,Has,46,11098,275,2,537,P,0,replays/2ndRun\5f82094348554f18890cc5a6569caba1.SC2Replay
278,TIME,43,14510,1400,15,542,T,1,replays/2ndRun\5f82094348554f18890cc5a6569caba1.SC2Replay
279,MaSa,16,1330,150,3,176,T,0,replays/2ndRun\5f887a62ba204b019869af69bfc6e8af.SC2Replay
280,Serral,18,1761,600,10,180,Z,1,replays/2ndRun\5f887a62ba204b019869af69bfc6e8af.SC2Replay
281,herO,60,24937,1925,8,705,P,0,replays/2ndRun\5f8c73dd7460499d894c2ec83fba2bba.SC2Replay
282,ByuN,48,21949,3550,42,706,T,1,replays/2ndRun\5f8c73dd7460499d894c2ec83fba2bba.SC2Replay
283,NXZ,44,6963,2300,16,410,Z,0,replays/2ndRun\5fa1fbb85d33480081607cc6f1dbe2f7.SC2Replay
284,iaguz,44,8499,725,10,414,T,1,replays/2ndRun\5fa1fbb85d33480081607cc6f1dbe2f7.SC2Replay
285,PtitDrogo,69,50583,2775,10,773,P,0,replays/2ndRun\5fb3e14cbe554488bb3058532ffb14f3.SC2Replay
286,iAsonu,68,37190,8575,74,779,Z,1,replays/2ndRun\5fb3e14cbe554488bb3058532ffb14f3.SC2Replay
287,Neeb,43,11296,1500,7,495,P,0,replays/2ndRun\5fccffd26d374f08808d058f7f1280cb.SC2Replay
288,Stats,43,16227,1475,9,491,P,1,replays/2ndRun\5fccffd26d374f08808d058f7f1280cb.SC2Replay
289,Ethereal,34,6775,1150,16,379,Z,0,replays/2ndRun\5fd548d2b1864439a3b4580c4a9df150.SC2Replay
290,Daydreamer,37,6096,925,5,348,P,1,replays/2ndRun\5fd548d2b1864439a3b4580c4a9df150.SC2Replay
291,souL,39,9124,1400,12,472,T,0,replays/2ndRun\5fee0cfe354b43f78fe10a0b90fcb2a0.SC2Replay
292,Dayshi,46,10040,1425,12,481,T,1,replays/2ndRun\5fee0cfe354b43f78fe10a0b90fcb2a0.SC2Replay
293,PiLiPiLi,49,20649,1525,6,513,P,1,replays/2ndRun\6a27882264c24c58b4d21eab97184286.SC2Replay
294,PandaBearMe,55,14684,3775,52,518,Z,0,replays/2ndRun\6a27882264c24c58b4d21eab97184286.SC2Replay
295,Neeb,63,24458,2000,7,684,P,1,replays/2ndRun\6a328c10f8784e6eb1c6369a52f31e9a.SC2Replay
296,Reynor,48,17121,5675,83,683,Z,0,replays/2ndRun\6a328c10f8784e6eb1c6369a52f31e9a.SC2Replay
297,PtitDrogo,65,33316,1400,7,679,P,0,replays/2ndRun\6a42f04aed0b4ea39b5311a03473c79d.SC2Replay
298,MarineLorD,72,25096,2025,22,725,T,1,replays/2ndRun\6a42f04aed0b4ea39b5311a03473c79d.SC2Replay
299,DnS,61,13200,1000,5,523,P,1,replays/2ndRun\6a7dedef10754304ac6eb491a0919f54.SC2Replay
300,Seither,50,12717,1800,21,524,T,0,replays/2ndRun\6a7dedef10754304ac6eb491a0919f54.SC2Replay
301,Elazer,34,9510,4650,52,483,Z,1,replays/2ndRun\6a8d16ee02f44333984be91407d7df42.SC2Replay
302,Zanster,36,7504,4600,46,485,Z,0,replays/2ndRun\6a8d16ee02f44333984be91407d7df42.SC2Replay
303,Lambo,68,17106,3250,27,569,Z,1,replays/2ndRun\6aa600e269b54137af73956acf456ac2.SC2Replay
304,Harstem,67,16147,1250,6,548,P,0,replays/2ndRun\6aa600e269b54137af73956acf456ac2.SC2Replay
305,puCK,55,52195,1600,6,996,P,0,replays/2ndRun\6ae8167eb9934ab3a87754a16dcc8fbd.SC2Replay
306,uThermal,55,44034,5525,49,989,T,1,replays/2ndRun\6ae8167eb9934ab3a87754a16dcc8fbd.SC2Replay
307,Bly,61,12787,1950,17,536,Z,0,replays/2ndRun\6af26ac807724b8ab3ad4f193e985c0e.SC2Replay
308,Namshar,59,15383,2950,26,524,Z,1,replays/2ndRun\6af26ac807724b8ab3ad4f193e985c0e.SC2Replay
309,Elazer,51,40437,5950,49,815,Z,1,replays/2ndRun\6af29eeb217a48f4be58a2014859f864.SC2Replay
310,uThermal,38,23664,2175,24,809,T,0,replays/2ndRun\6af29eeb217a48f4be58a2014859f864.SC2Replay
311,Zest,44,6479,850,4,380,P,1,replays/2ndRun\6afbabf46f784275821301dea6fb3745.SC2Replay
312,Scarlett,50,8535,1700,21,413,Z,0,replays/2ndRun\6afbabf46f784275821301dea6fb3745.SC2Replay
313,LiquidMaNa,52,15558,1250,6,521,P,1,replays/2ndRun\6afffe6e748f4fe4a569ec9d478aecbd.SC2Replay
314,LiquidTLO,50,9687,5550,50,558,Z,0,replays/2ndRun\6afffe6e748f4fe4a569ec9d478aecbd.SC2Replay
315,herO,24,4969,575,4,268,P,1,replays/2ndRun\6b03a1273df74592b75812a99deed835.SC2Replay
316,sOs,25,5851,550,3,265,P,0,replays/2ndRun\6b03a1273df74592b75812a99deed835.SC2Replay
317,RlSky,39,10243,2625,42,472,Z,0,replays/2ndRun\6b0d4e92cb174f0e8943c03653b50c12.SC2Replay
318,llllllllllll,49,12325,1400,6,465,P,1,replays/2ndRun\6b0d4e92cb174f0e8943c03653b50c12.SC2Replay
319,Nerchio,40,7851,2300,18,526,Z,1,replays/2ndRun\6b2706771d8248779a7ce0a6084cf950.SC2Replay
320,SortOf,28,17036,3125,31,523,Z,0,replays/2ndRun\6b2706771d8248779a7ce0a6084cf950.SC2Replay
321,Serral,57,16700,2450,19,630,Z,0,replays/2ndRun\6b323369f113498ea2cd40a483302574.SC2Replay
322,Lambo,53,21394,4100,41,629,Z,1,replays/2ndRun\6b323369f113498ea2cd40a483302574.SC2Replay
323,NoPinSea,66,26492,2075,11,693,P,0,replays/2ndRun\6b3834324f984ee8b45d7cb2fbee1d5b.SC2Replay
324,iaguz,72,45105,7125,74,944,T,1,replays/2ndRun\6b3834324f984ee8b45d7cb2fbee1d5b.SC2Replay
325,LiquidSnute,27,4175,925,13,272,Z,1,replays/2ndRun\6b3c423224c849a1b5e03bd8b73ad34d.SC2Replay
326,Bly,27,4442,800,10,266,Z,0,replays/2ndRun\6b3c423224c849a1b5e03bd8b73ad34d.SC2Replay
327,Snute,36,5975,2150,22,378,Z,0,replays/2ndRun\6b467eb5967d4f3facef5e407881ad5c.SC2Replay
328,herO,38,7488,375,3,364,P,1,replays/2ndRun\6b467eb5967d4f3facef5e407881ad5c.SC2Replay
329,MeomaikA,70,46308,9050,81,1149,Z,1,replays/2ndRun\6b56057b9ee446c789d262e59c9d18d1.SC2Replay
330,Maru,57,34907,4050,43,1154,T,0,replays/2ndRun\6b56057b9ee446c789d262e59c9d18d1.SC2Replay
