,Unnamed: 0.1,Unnamed: 0,player,total_workers,resource_mining,total_army_value,total_army,time,fraction,winner,replay_filename
783,783,783,lIIllllIIlll,70,23196,4375,56,767,0,1,replays/4thRun\94a8d0362ec24147b34393a517f5b70c.SC2Replay
784,784,784,FanTaSy,59,19438,3800,33,658,0,0,replays/4thRun\94a8d0362ec24147b34393a517f5b70c.SC2Replay
785,785,785,Nerchio,63,17119,6125,64,705,0,0,replays/4thRun\94cef2c84cec4490a5e3014b12b584ec.SC2Replay
786,786,786,viOLet,63,21002,6375,71,710,0,1,replays/4thRun\94cef2c84cec4490a5e3014b12b584ec.SC2Replay
787,787,787,Namshar,63,16398,5900,63,606,0,1,replays/4thRun\94e0e6960e0e43f0a254c095991c6bc2.SC2Replay
788,788,788,YoGo,41,13773,4050,52,602,0,0,replays/4thRun\94e0e6960e0e43f0a254c095991c6bc2.SC2Replay
789,789,789,Elazer,80,31314,5100,94,692,0,0,replays/4thRun\94ff55e7ecce4d27a62470c831fc44e3.SC2Replay
790,790,790,HeRoMaRinE,76,26665,3850,56,708,0,1,replays/4thRun\94ff55e7ecce4d27a62470c831fc44e3.SC2Replay
791,791,791,lIIllllIIlll,23,5153,550,6,276,0,1,replays/4thRun\95b7cf5ae74b4a9fb8b7101139679c53.SC2Replay
792,792,792,liquidthermy,23,3212,300,2,227,0,0,replays/4thRun\95b7cf5ae74b4a9fb8b7101139679c53.SC2Replay
793,793,793,TLO,46,4780,1550,21,379,0,1,replays/4thRun\95c2c9721f074844bc7169c8b1cf0693.SC2Replay
794,794,794,Alexander,32,6949,700,13,364,0,0,replays/4thRun\95c2c9721f074844bc7169c8b1cf0693.SC2Replay
795,795,795,SortOf,61,14599,3450,56,603,0,0,replays/4thRun\95d4c5658a95470c9421666989461d4b.SC2Replay
796,796,796,DnS,62,21708,1225,5,603,0,1,replays/4thRun\95d4c5658a95470c9421666989461d4b.SC2Replay
797,797,797,Impact,40,16649,4725,63,569,0,1,replays/4thRun\95dd60cd75284c85ac77f6a470e633ab.SC2Replay
798,798,798,Bunny,58,27923,3825,20,768,0,0,replays/4thRun\95dd60cd75284c85ac77f6a470e633ab.SC2Replay
799,799,799,HeroMarine,66,35773,8650,94,981,0,1,replays/4thRun\95df6a7a8fb64b0a84a47a09ca035f2e.SC2Replay
800,800,800,Dayshi,67,30216,6850,81,979,0,0,replays/4thRun\95df6a7a8fb64b0a84a47a09ca035f2e.SC2Replay
801,801,801,Dayshi,74,55243,6000,58,1069,0,1,replays/4thRun\95fb9b0dc8cb4125a4a3a56fb8f09368.SC2Replay
802,802,802,Nerchio,73,89328,11950,83,1047,0,0,replays/4thRun\95fb9b0dc8cb4125a4a3a56fb8f09368.SC2Replay
803,803,803,Clem,50,13859,2875,16,557,0,1,replays/4thRun\96af17ba03654518b48ca6da2091c785.SC2Replay
804,804,804,InZaNe,48,12439,2300,13,555,0,0,replays/4thRun\96af17ba03654518b48ca6da2091c785.SC2Replay
805,805,805,ZooWhaleTail,61,23130,3000,70,754,0,1,replays/4thRun\96c1f9adba8f4242b8b3a49850cbef33.SC2Replay
806,806,806,Jieshi,59,39568,6175,22,1107,0,0,replays/4thRun\96c1f9adba8f4242b8b3a49850cbef33.SC2Replay
807,807,807,MaNa,52,18263,2175,9,559,0,0,replays/4thRun\96d8423004b341c6bc1cd5580f99c4c3.SC2Replay
808,808,808,uThermal,52,16061,1400,25,571,0,1,replays/4thRun\96d8423004b341c6bc1cd5580f99c4c3.SC2Replay
