,player,total_workers,resource_mining,total_army_value,total_army,time,fraction,winner,replay_filename
407,Serral,56,9425,3175,39,480,Z,0,replays/3rdRun\43dd2e04646b4a1da04157e1d609068b.SC2Replay
408,DnS,46,7558,1025,4,392,P,1,replays/3rdRun\43df4bf91ac94f2898181a34c57f2b6b.SC2Replay
409,SouLeer,39,6460,1300,14,403,Z,0,replays/3rdRun\43df4bf91ac94f2898181a34c57f2b6b.SC2Replay
410,GOStephano,21,8466,2375,24,376,Z,0,replays/3rdRun\43ece52443ea4f448d81d3ab864fa9c9.SC2Replay
411,HellraiseR,22,7217,950,4,376,P,1,replays/3rdRun\43ece52443ea4f448d81d3ab864fa9c9.SC2Replay
412,FanTaSy,47,16189,2200,22,647,T,1,replays/3rdRun\44b1896cc9ed4a2db000f3601c7f41ec.SC2Replay
413,PartinG,41,13127,575,4,614,P,0,replays/3rdRun\44b1896cc9ed4a2db000f3601c7f41ec.SC2Replay
414,Damrud,30,8826,1500,35,369,Z,0,replays/3rdRun\44b6e58db0dd43cb8cb4409dc832ef52.SC2Replay
415,BLY,36,8557,1600,21,362,Z,1,replays/3rdRun\44b6e58db0dd43cb8cb4409dc832ef52.SC2Replay
416,Optimus,24,3327,450,3,251,T,0,replays/3rdRun\44b8bb858a1e4b5baef1c96154df5153.SC2Replay
417,Dayshi,25,4202,300,3,250,T,1,replays/3rdRun\44b8bb858a1e4b5baef1c96154df5153.SC2Replay
418,Clem,56,16666,2375,30,558,T,1,replays/3rdRun\44bbe154afc64d7eb9c4be9e098ac782.SC2Replay
419,Silky,69,13960,3125,60,555,Z,0,replays/3rdRun\44bbe154afc64d7eb9c4be9e098ac782.SC2Replay
420,TSGSolar,31,5924,1625,34,356,Z,0,replays/3rdRun\44c6c843ec694e169aa5718fd6925baf.SC2Replay
421,soO,39,7397,1175,18,372,Z,1,replays/3rdRun\44c6c843ec694e169aa5718fd6925baf.SC2Replay
422,Nice,24,6889,1050,8,354,P,1,replays/3rdRun\44dc82d0ccee473c96827f52e2af1e6b.SC2Replay
423,YouRush,24,6236,1275,29,360,Z,0,replays/3rdRun\44dc82d0ccee473c96827f52e2af1e6b.SC2Replay
424,iaguz,65,21555,3975,51,658,T,1,replays/3rdRun\44fa454beb514e71811466550cabba8b.SC2Replay
425,TooDming,78,19630,3550,56,614,Z,0,replays/3rdRun\44fa454beb514e71811466550cabba8b.SC2Replay
426,Serral,29,10777,3875,60,475,Z,0,replays/3rdRun\45a7348fce404b9b8edb8d86d8fddc27.SC2Replay
427,Reynor,33,9505,2775,69,478,Z,1,replays/3rdRun\45a7348fce404b9b8edb8d86d8fddc27.SC2Replay
428,Scarlett,66,27400,5550,38,638,Z,1,replays/3rdRun\45ad601ef2f7426b82a8cc471d6bca64.SC2Replay
429,AxImpact,75,19632,5650,63,638,Z,0,replays/3rdRun\45ad601ef2f7426b82a8cc471d6bca64.SC2Replay
430,MaNa,49,13562,625,3,540,P,0,replays/3rdRun\45bc7fc915794d5eab041dc1bbea71ab.SC2Replay
431,GuMiho,37,12145,2575,30,561,T,1,replays/3rdRun\45bc7fc915794d5eab041dc1bbea71ab.SC2Replay
432,Bails,67,43990,3825,18,765,P,1,replays/3rdRun\45e1c36ff94c4e8292d49d77714cc2dc.SC2Replay
433,PandaBearMe,70,44994,6850,109,774,Z,0,replays/3rdRun\45e1c36ff94c4e8292d49d77714cc2dc.SC2Replay
434,SouLeer,67,18299,4250,36,635,Z,0,replays/3rdRun\45e2fa32106d4e48bc4b0bc1b0fe0d0a.SC2Replay
435,Lambo,71,16389,4200,37,627,Z,1,replays/3rdRun\45e2fa32106d4e48bc4b0bc1b0fe0d0a.SC2Replay
436,Demi,39,9846,1850,26,433,Z,0,replays/3rdRun\45eaacf1f37f49ab92cd6840b85b4a55.SC2Replay
437,SpeCial,37,9094,1025,9,432,T,1,replays/3rdRun\45eaacf1f37f49ab92cd6840b85b4a55.SC2Replay
438,TIME,69,56191,8525,91,1055,T,0,replays/3rdRun\46bcfd0d3fd14aca90376cee2dd6f984.SC2Replay
439,Stephano,87,81868,9175,231,1001,Z,1,replays/3rdRun\46bcfd0d3fd14aca90376cee2dd6f984.SC2Replay
440,iaguz,42,15246,975,11,536,T,1,replays/3rdRun\46c701f9536a48a8934af36a72aeddf0.SC2Replay
441,PiG,24,10508,2775,52,371,Z,0,replays/3rdRun\46c701f9536a48a8934af36a72aeddf0.SC2Replay
442,Dana,45,16270,3500,45,649,Z,1,replays/3rdRun\46d2e91cdb5d47a193499855840f69a5.SC2Replay
443,Elroye,37,7912,1625,33,397,Z,0,replays/3rdRun\46d2e91cdb5d47a193499855840f69a5.SC2Replay
444,Zest,73,32441,1000,5,767,P,1,replays/3rdRun\46d89013f14b45b3acfb6bdf16faaf33.SC2Replay
445,JJAKJI,63,21237,4150,44,772,T,0,replays/3rdRun\46d89013f14b45b3acfb6bdf16faaf33.SC2Replay
446,Lambo,81,37793,11625,175,829,Z,0,replays/3rdRun\46da7fb9d07247e5b004b569b3aeedc3.SC2Replay
447,llllllllllll,76,41591,3100,10,832,P,1,replays/3rdRun\46da7fb9d07247e5b004b569b3aeedc3.SC2Replay
448,Maru,45,15182,3325,23,570,T,1,replays/3rdRun\46f1bfc3c8c84558bb15350e75248b81.SC2Replay
449,INnoVation,47,13428,2475,26,559,T,0,replays/3rdRun\46f1bfc3c8c84558bb15350e75248b81.SC2Replay
450,Solar,79,42931,9975,201,832,Z,1,replays/3rdRun\47b086a226bb44f3b05724eed873ff68.SC2Replay
451,lIIllllIIlll,77,31928,8425,87,829,T,0,replays/3rdRun\47b086a226bb44f3b05724eed873ff68.SC2Replay
452,INnoVation,71,56427,9200,81,1091,T,0,replays/3rdRun\47b3bd69f3e74f0fb2836b1f161d8889.SC2Replay
453,aLive,66,44975,8875,104,946,T,1,replays/3rdRun\47b3bd69f3e74f0fb2836b1f161d8889.SC2Replay
454,TRUE,80,35025,11975,181,903,Z,1,replays/3rdRun\47c3e6a57a004a9d8e3b5341469d0d30.SC2Replay
455,uThermal,46,48162,6000,93,897,T,0,replays/3rdRun\47c3e6a57a004a9d8e3b5341469d0d30.SC2Replay
456,Dark,71,30233,2800,24,693,Z,0,replays/3rdRun\47e297e1e7d24b26a40f9d12c5f3d5cd.SC2Replay
457,INnoVation,61,25328,2775,27,713,T,1,replays/3rdRun\47e297e1e7d24b26a40f9d12c5f3d5cd.SC2Replay
458,MaNa,74,42258,3825,12,818,P,1,replays/3rdRun\47ff0de827774ce9a344d2c6f0ecbf02.SC2Replay
459,Lambo,71,30623,7750,109,821,Z,0,replays/3rdRun\47ff0de827774ce9a344d2c6f0ecbf02.SC2Replay
460,GOStephano,61,64508,7525,95,993,Z,1,replays/3rdRun\48ace0d46e894e5f81efda8370eb02a7.SC2Replay
461,Zest,61,51726,825,4,823,P,0,replays/3rdRun\48ace0d46e894e5f81efda8370eb02a7.SC2Replay
462,Harstem,80,51310,5475,18,959,P,0,replays/3rdRun\48cbbc9d1d7b4a94b0dc719be846bbc4.SC2Replay
463,JonSnow,76,102211,11600,182,1032,Z,1,replays/3rdRun\48cbbc9d1d7b4a94b0dc719be846bbc4.SC2Replay
