,player,total_workers,resource_mining,total_army_value,total_army,supply,time,fraction,winner,replay_filename
116,RiSky,87,90915,11825,110.5,234.0,1149,Z,1,replays/2ndRun\4fef11e0656f489d8b78e470a3f57e82.SC2Replay
117,MaNa,39,12337,525,6.0,46.0,433,P,0,replays/2ndRun\4ff2eb99c7d34495b6c5b16ab85fa516.SC2Replay
118,Dark,48,10581,2300,20.0,90.0,465,Z,1,replays/2ndRun\4ff2eb99c7d34495b6c5b16ab85fa516.SC2Replay
119,jheffe,73,48396,5200,76.0,181.0,877,T,0,replays/2ndRun\4ff94041fa2c4e608a372c0b35bfbc40.SC2Replay
120,Silky,80,51150,8925,91.5,196.0,893,Z,1,replays/2ndRun\4ff94041fa2c4e608a372c0b35bfbc40.SC2Replay
121,LiquidSnute,16,3124,1350,15.0,36.0,266,Z,0,replays/2ndRun\4ffc3a37260f43ecb47afd396c169365.SC2Replay
122,TSGSolar,26,4203,1000,8.0,36.0,269,Z,1,replays/2ndRun\4ffc3a37260f43ecb47afd396c169365.SC2Replay
123,Guru,56,17359,4800,48.0,136.0,666,Z,0,replays/2ndRun\5a05a83456e340c39147566af60902f1.SC2Replay
124,Patience,61,18025,500,5.0,117.0,625,P,1,replays/2ndRun\5a05a83456e340c39147566af60902f1.SC2Replay
125,Neeb,74,47335,5275,54.0,188.0,1002,P,1,replays/2ndRun\5a0cd7c7f1d640f2a111a9b2d81d6ba0.SC2Replay
126,ShoWTimE,73,45044,4700,49.0,180.0,1059,P,0,replays/2ndRun\5a0cd7c7f1d640f2a111a9b2d81d6ba0.SC2Replay
127,Ninja,20,1336,0,0.0,31.0,156,P,0,replays/2ndRun\5a1f37632ab94e18936e33ec9900c87a.SC2Replay
128,GogojOey,18,3359,700,7.0,30.0,218,Z,1,replays/2ndRun\5a1f37632ab94e18936e33ec9900c87a.SC2Replay
129,LiquidSnute,37,7599,1300,7.0,82.0,404,Z,1,replays/2ndRun\5a2cfb44ea5448a280c75a9c20ea9965.SC2Replay
130,LiquidTLO,32,8937,1125,7.5,60.0,413,Z,0,replays/2ndRun\5a2cfb44ea5448a280c75a9c20ea9965.SC2Replay
131,PiG,41,6796,1175,8.5,60.0,355,Z,1,replays/2ndRun\5a2f1b967320489590f89ce1cd9e5435.SC2Replay
