,player,total_workers,total_army_value,total_army,fraction,winner,replay_filename
490,SortOf,14,1200,27,Z,0,replays/1stRun\2e7c30c92d0643e9abcd35ea3798fee8.SC2Replay
491,Snute,42,1750,22,Z,1,replays/1stRun\2e7c30c92d0643e9abcd35ea3798fee8.SC2Replay
492,RlSky,22,550,8,Z,0,replays/1stRun\2e934781d387472180e8d5c448eb5c17.SC2Replay
493,SouLeer,16,750,16,Z,1,replays/1stRun\2e934781d387472180e8d5c448eb5c17.SC2Replay
494,DnS,63,1800,7,P,0,replays/1stRun\2eac3f1dcf6a4df2bb53d5a7073345ed.SC2Replay
495,Serral,68,6850,49,Z,1,replays/1stRun\2eac3f1dcf6a4df2bb53d5a7073345ed.SC2Replay
496,Serral,38,2525,28,Z,1,replays/1stRun\2ed70e686039425a9a05bc71019b667d.SC2Replay
497,Elazer,30,3600,32,Z,0,replays/1stRun\2ed70e686039425a9a05bc71019b667d.SC2Replay
498,Snute,33,1600,25,Z,1,replays/1stRun\2ed73cdb84264588940c8744b4a1e265.SC2Replay
499,NoRegreT,26,1400,27,Z,0,replays/1stRun\2ed73cdb84264588940c8744b4a1e265.SC2Replay
500,Nice,21,625,3,P,1,replays/1stRun\2edb79e1ab5c44e9b0041cb1ab073d85.SC2Replay
501,jheffe,22,250,4,T,0,replays/1stRun\2edb79e1ab5c44e9b0041cb1ab073d85.SC2Replay
502,iGRushcrazy,46,1625,7,P,0,replays/1stRun\2f1f08838eb34fcb86791e8ec0c4f8f1.SC2Replay
503,iGXiGua,45,3050,52,Z,1,replays/1stRun\2f1f08838eb34fcb86791e8ec0c4f8f1.SC2Replay
504,PandaBearMe,12,100,1,Z,0,replays/1stRun\2f25bb17cd4a461e9589b98aac6177f2.SC2Replay
505,Hymy,12,0,0,P,1,replays/1stRun\2f25bb17cd4a461e9589b98aac6177f2.SC2Replay
506,liquidthermy,41,2325,11,P,0,replays/1stRun\2f27c304cc9b471d8baa4182fb4ce786.SC2Replay
507,Patience,40,750,4,P,1,replays/1stRun\2f27c304cc9b471d8baa4182fb4ce786.SC2Replay
508,Guru,33,1900,31,Z,1,replays/1stRun\2f45999b1265416180d1ad1749ab3992.SC2Replay
509,Namshar,29,1075,13,Z,0,replays/1stRun\2f45999b1265416180d1ad1749ab3992.SC2Replay
510,Elazer,44,1875,35,Z,1,replays/1stRun\2f4e143f91a9435b8d730a30a0a482e6.SC2Replay
511,Stephano,38,3575,64,Z,0,replays/1stRun\2f4e143f91a9435b8d730a30a0a482e6.SC2Replay
512,Lobo,42,850,5,P,1,replays/1stRun\2f5002cfe8ad48839a473ed272b0d1c0.SC2Replay
513,StriKE,36,1750,22,T,0,replays/1stRun\2f5002cfe8ad48839a473ed272b0d1c0.SC2Replay
514,Poizon,24,250,2,P,0,replays/1stRun\2f782d2001314d5d8db7a6c08db86b57.SC2Replay
515,PtitDrogo,24,550,3,P,1,replays/1stRun\2f782d2001314d5d8db7a6c08db86b57.SC2Replay
516,Lambo,70,4375,69,Z,1,replays/1stRun\2f7cbdd74633456aa7d35247f372837b.SC2Replay
517,TIME,67,1700,28,T,0,replays/1stRun\2f7cbdd74633456aa7d35247f372837b.SC2Replay
518,JonSnow,59,4700,32,Z,1,replays/1stRun\2f9cd6b10f4b4df39f67ccf43ce23d91.SC2Replay
519,Serral,63,4225,41,Z,0,replays/1stRun\2f9cd6b10f4b4df39f67ccf43ce23d91.SC2Replay
520,PtitDrogo,48,700,4,P,0,replays/1stRun\2fa1674800a44407b181c3911d39c35b.SC2Replay
521,MMA,52,1150,18,T,1,replays/1stRun\2fa1674800a44407b181c3911d39c35b.SC2Replay
522,Stats,60,2000,6,P,1,replays/1stRun\2fae4dbe36e84c96bb22f366d73e3f83.SC2Replay
523,TYTY,66,4300,39,T,0,replays/1stRun\2fae4dbe36e84c96bb22f366d73e3f83.SC2Replay
524,Bly,33,1950,15,Z,1,replays/1stRun\2fbfdfc588124a1696cb403ccf0ad570.SC2Replay
525,DeMusliM,34,850,8,T,0,replays/1stRun\2fbfdfc588124a1696cb403ccf0ad570.SC2Replay
526,iaguz,64,1450,14,T,1,replays/1stRun\2fc4b949f7ee42079dff363dbea9ffe6.SC2Replay
527,Petraeus,68,2400,25,Z,0,replays/1stRun\2fc4b949f7ee42079dff363dbea9ffe6.SC2Replay
528,Cham,64,7850,67,Z,0,replays/1stRun\2fca6c86f3264a28ad53c326c0f7da16.SC2Replay
529,MDStephano,63,8050,74,Z,1,replays/1stRun\2fca6c86f3264a28ad53c326c0f7da16.SC2Replay
530,soul,44,1200,8,T,0,replays/1stRun\2fcff8977ae84c4eb053404e378b1871.SC2Replay
531,soO,49,2775,40,Z,1,replays/1stRun\2fcff8977ae84c4eb053404e378b1871.SC2Replay
532,Bly,29,2050,19,Z,0,replays/1stRun\2fd23860b3d4455b9ffaaeafc8b97d17.SC2Replay
533,Scarlett,43,2125,20,Z,1,replays/1stRun\2fd23860b3d4455b9ffaaeafc8b97d17.SC2Replay
534,Serral,50,1550,19,Z,1,replays/1stRun\2fe4559544ca42f4963150099493a063.SC2Replay
535,Harstem,46,1100,5,P,0,replays/1stRun\2fe4559544ca42f4963150099493a063.SC2Replay
536,LiquidMaNa,68,0,0,P,0,replays/1stRun\2fffd2b3811f4e45b10bf5b07f6b087a.SC2Replay
537,Bunny,62,3150,35,T,1,replays/1stRun\2fffd2b3811f4e45b10bf5b07f6b087a.SC2Replay
538,FWHas,47,1650,8,P,1,replays/1stRun\3a0d0490b41e4cd492bff9690714e59d.SC2Replay
539,Rex,48,5725,76,Z,0,replays/1stRun\3a0d0490b41e4cd492bff9690714e59d.SC2Replay
540,Polt,64,4775,56,T,1,replays/1stRun\3a3886f8168740d691bdc3e35f23687e.SC2Replay
541,Soulkey,56,6250,47,Z,0,replays/1stRun\3a3886f8168740d691bdc3e35f23687e.SC2Replay
542,TRUE,37,2250,53,Z,1,replays/1stRun\3a4e92d574b44cfea8a6e1dde3f00e12.SC2Replay
543,Nerchio,31,2200,56,Z,0,replays/1stRun\3a4e92d574b44cfea8a6e1dde3f00e12.SC2Replay
544,daydrA,36,950,13,Z,0,replays/1stRun\3a625ac607564cae9bc23eacc7fff35a.SC2Replay
545,NonY,36,375,3,P,1,replays/1stRun\3a625ac607564cae9bc23eacc7fff35a.SC2Replay
546,Nice,23,1225,7,P,0,replays/1stRun\3a71ed0c3d9c43ee94d13626acfd4401.SC2Replay
547,ShaDoWn,23,500,4,P,1,replays/1stRun\3a71ed0c3d9c43ee94d13626acfd4401.SC2Replay
548,Neeb,75,3050,11,P,1,replays/1stRun\3a81003c78754ac49b53767c0bcdb096.SC2Replay
549,MaNa,71,2400,11,P,0,replays/1stRun\3a81003c78754ac49b53767c0bcdb096.SC2Replay
550,OGZest,39,750,5,P,1,replays/1stRun\3a87ea42dfce4219941a746907b28cd3.SC2Replay
551,Bunny,29,1400,14,T,0,replays/1stRun\3a87ea42dfce4219941a746907b28cd3.SC2Replay
552,Nerchio,75,7850,95,Z,0,replays/1stRun\3a9d846a6d27497c9bb9dd8df3d2b601.SC2Replay
553,Stats,71,4725,14,P,1,replays/1stRun\3a9d846a6d27497c9bb9dd8df3d2b601.SC2Replay
554,Nerchio,30,1825,41,Z,1,replays/1stRun\3aaf72c8341e4df3b33c3ac0dc523b79.SC2Replay
555,GoGojOey,27,2050,36,Z,0,replays/1stRun\3aaf72c8341e4df3b33c3ac0dc523b79.SC2Replay
556,Nerchio,62,10550,82,Z,1,replays/1stRun\3ab2e9dc53da4d62a7da305f82bf12ac.SC2Replay
557,Impact,62,7850,64,Z,0,replays/1stRun\3ab2e9dc53da4d62a7da305f82bf12ac.SC2Replay
558,Kelazhur,50,3450,20,T,1,replays/1stRun\3ab3e6e49756499ba64ccf4368146d18.SC2Replay
559,HeRoMaRinE,48,4300,30,T,0,replays/1stRun\3ab3e6e49756499ba64ccf4368146d18.SC2Replay
560,Lambo,56,4375,43,Z,1,replays/1stRun\3ab793749ec1498ea0a70f307fb14ada.SC2Replay
561,Torkk,43,1050,7,P,0,replays/1stRun\3ab793749ec1498ea0a70f307fb14ada.SC2Replay
562,TSGSolar,38,2075,47,Z,0,replays/1stRun\3aed086f007d4312b2fb800275beae57.SC2Replay
563,soO,36,1900,37,Z,1,replays/1stRun\3aed086f007d4312b2fb800275beae57.SC2Replay
564,Ziggy,67,8100,40,T,1,replays/1stRun\3b0b22b75536431096ff5f5071e83ca8.SC2Replay
565,Matiz,79,13950,97,Z,0,replays/1stRun\3b0b22b75536431096ff5f5071e83ca8.SC2Replay
566,Zanster,25,2325,34,Z,0,replays/1stRun\3b13576548bb4cebb65d9ae95ec1a82f.SC2Replay
567,soO,31,2100,37,Z,1,replays/1stRun\3b13576548bb4cebb65d9ae95ec1a82f.SC2Replay
568,eonblu,52,1225,13,Z,0,replays/1stRun\3b2a91e44d6949c4af9b6639ed1ca3ed.SC2Replay
569,llllllllllll,46,1575,6,P,1,replays/1stRun\3b2a91e44d6949c4af9b6639ed1ca3ed.SC2Replay
570,Stats,54,1600,7,P,1,replays/1stRun\3b350bdc95fa470b805fb85ca56a5e21.SC2Replay
571,Dark,41,5200,86,Z,0,replays/1stRun\3b350bdc95fa470b805fb85ca56a5e21.SC2Replay
572,Nice,62,2625,11,P,1,replays/1stRun\3b40a49245ce4596b0c303c67502ff97.SC2Replay
573,Jig,75,2000,23,Z,0,replays/1stRun\3b40a49245ce4596b0c303c67502ff97.SC2Replay
574,Gremory,41,1125,10,Z,0,replays/1stRun\3b41692efda64660a32f6d2bda6d096b.SC2Replay
575,Bunny,36,550,11,T,1,replays/1stRun\3b41692efda64660a32f6d2bda6d096b.SC2Replay
576,Raze,28,825,12,T,1,replays/1stRun\3b4aae8180d94457812e3078313943df.SC2Replay
577,HeltEn,20,1000,4,T,0,replays/1stRun\3b4aae8180d94457812e3078313943df.SC2Replay
578,ShoWTimE,51,925,5,P,1,replays/1stRun\3b61d63aadad420f8d9bade440ff1fe8.SC2Replay
579,Namshar,35,2800,53,Z,0,replays/1stRun\3b61d63aadad420f8d9bade440ff1fe8.SC2Replay
580,Scarlett,69,4275,38,Z,0,replays/1stRun\3b6d1abbda89491899ad03670cb6c217.SC2Replay
581,DnS,65,1975,7,P,1,replays/1stRun\3b6d1abbda89491899ad03670cb6c217.SC2Replay
582,Bly,75,7075,104,Z,0,replays/1stRun\3b89a496b6ad4049a473d1cb8022060a.SC2Replay
583,Probe,65,6950,21,P,1,replays/1stRun\3b89a496b6ad4049a473d1cb8022060a.SC2Replay
584,Harstem,44,725,4,P,1,replays/1stRun\3b9ad8fffa84479ea9b3cf73d382edca.SC2Replay
585,Stephano,57,1600,18,Z,0,replays/1stRun\3b9ad8fffa84479ea9b3cf73d382edca.SC2Replay
586,MaSa,23,200,2,T,0,replays/1stRun\3baa06957ef548ada950b62abf096e39.SC2Replay
587,uThermal,21,400,4,T,1,replays/1stRun\3baa06957ef548ada950b62abf096e39.SC2Replay
588,Crow,45,1950,38,Z,0,replays/1stRun\3bb2fb4140054d30974cbddc72ecf95d.SC2Replay
589,JonSnow,49,3050,41,Z,1,replays/1stRun\3bb2fb4140054d30974cbddc72ecf95d.SC2Replay
590,SortOf,43,1725,30,Z,0,replays/1stRun\3bb8240641774784aff9dff30fcf8c97.SC2Replay
591,Elazer,45,1950,26,Z,1,replays/1stRun\3bb8240641774784aff9dff30fcf8c97.SC2Replay
592,Patience,53,2300,11,P,1,replays/1stRun\3bbb259fc0734a21b080f37f5488e752.SC2Replay
593,ArT,57,3300,13,P,0,replays/1stRun\3bbb259fc0734a21b080f37f5488e752.SC2Replay
594,HellraiseR,32,450,3,P,1,replays/1stRun\3bea857fc64b4115b6c48dd1e9380bd2.SC2Replay
595,MMA,31,675,12,T,0,replays/1stRun\3bea857fc64b4115b6c48dd1e9380bd2.SC2Replay
596,Gauss,33,875,4,P,1,replays/1stRun\3bf7af0fc8fb45628720e68ea2311fca.SC2Replay
597,Matrix,25,450,3,P,0,replays/1stRun\3bf7af0fc8fb45628720e68ea2311fca.SC2Replay
598,Zanster,54,3275,38,Z,1,replays/1stRun\3bfffe4bc870400da75ee901cfea3391.SC2Replay
599,Optimus,43,1600,14,T,0,replays/1stRun\3bfffe4bc870400da75ee901cfea3391.SC2Replay
600,GAMETIME,62,5025,51,Z,0,replays/1stRun\3c05346c2a834277a05ab82004e2fbdb.SC2Replay
601,iaguz,59,2500,39,T,1,replays/1stRun\3c05346c2a834277a05ab82004e2fbdb.SC2Replay
602,Dayshi,74,5150,47,T,0,replays/1stRun\3c2a0c895f694381be6cfb154d2e05f6.SC2Replay
603,Nerchio,73,8025,76,Z,1,replays/1stRun\3c2a0c895f694381be6cfb154d2e05f6.SC2Replay
604,Mana,46,775,5,P,1,replays/1stRun\3c3b56312a8a40bdac3708d2071daf3c.SC2Replay
605,Jason,45,2050,28,T,0,replays/1stRun\3c3b56312a8a40bdac3708d2071daf3c.SC2Replay
606,LiquidTLO,42,1325,20,Z,0,replays/1stRun\3c4e6f04f23b4b5f8c7809557bb55205.SC2Replay
607,llllllllllll,41,875,4,P,1,replays/1stRun\3c4e6f04f23b4b5f8c7809557bb55205.SC2Replay
608,NonY,74,2250,8,P,0,replays/1stRun\3c8ee445f7414e6d90079f492dcab2e3.SC2Replay
609,Namshar,76,8250,95,Z,1,replays/1stRun\3c8ee445f7414e6d90079f492dcab2e3.SC2Replay
610,Serral,70,4425,57,Z,1,replays/1stRun\3c985b09d2584749a64f71d81911392f.SC2Replay
611,LiquidTLO,60,3925,55,Z,0,replays/1stRun\3c985b09d2584749a64f71d81911392f.SC2Replay
612,liquidthermy,68,5450,38,T,0,replays/1stRun\3c9f98246d28407a9dc3ba82109ee61f.SC2Replay
613,Guru,84,8800,81,Z,1,replays/1stRun\3c9f98246d28407a9dc3ba82109ee61f.SC2Replay
614,Nice,45,1050,6,P,0,replays/1stRun\3ca66d6dcb7b4062b5e952ea392e1acc.SC2Replay
615,Rose,50,1425,21,Z,1,replays/1stRun\3ca66d6dcb7b4062b5e952ea392e1acc.SC2Replay
616,TRUE,34,2850,31,Z,1,replays/1stRun\3cba98406c9c49789a39032fb99983dc.SC2Replay
617,PandaBearMe,34,1525,22,Z,0,replays/1stRun\3cba98406c9c49789a39032fb99983dc.SC2Replay
618,DnS,40,800,4,P,1,replays/1stRun\3ccd3e39c50b4a5681e5c70e0cc234b7.SC2Replay
619,Elazer,63,3200,39,Z,0,replays/1stRun\3ccd3e39c50b4a5681e5c70e0cc234b7.SC2Replay
620,Gentleprobe,62,900,5,P,0,replays/1stRun\3cf2f156fb1a4c0aa9e0ac83e8b8ebe0.SC2Replay
621,iGiA,65,4600,49,Z,1,replays/1stRun\3cf2f156fb1a4c0aa9e0ac83e8b8ebe0.SC2Replay
622,eonblu,49,2100,28,Z,0,replays/1stRun\3cfe2620c4e34011b56983cd3d07503c.SC2Replay
623,Rhizer,49,1200,6,P,1,replays/1stRun\3cfe2620c4e34011b56983cd3d07503c.SC2Replay
624,Lambo,74,11050,134,Z,0,replays/1stRun\3d004ac21ef74b0d9c01a26d3a7e536f.SC2Replay
625,puCK,70,1700,8,P,1,replays/1stRun\3d004ac21ef74b0d9c01a26d3a7e536f.SC2Replay
626,PiLiPiLi,43,850,4,P,0,replays/1stRun\3d227f9b48dd4ca6b3875a8919d404e2.SC2Replay
627,Patience,39,650,3,P,1,replays/1stRun\3d227f9b48dd4ca6b3875a8919d404e2.SC2Replay
628,BLY,24,1750,45,Z,0,replays/1stRun\3d29857c7e0848dfacd0f5590c464aa8.SC2Replay
629,Stats,42,700,4,P,1,replays/1stRun\3d29857c7e0848dfacd0f5590c464aa8.SC2Replay
630,Nerchio,20,450,9,Z,0,replays/1stRun\3d4426aa4c984b06bb62bb0aae2addb8.SC2Replay
631,TRUE,18,550,11,Z,1,replays/1stRun\3d4426aa4c984b06bb62bb0aae2addb8.SC2Replay
632,Toodming,23,1350,14,Z,1,replays/1stRun\3d48b7f6c5d941f79be5c986cf7610b1.SC2Replay
633,yohilo,21,350,6,T,0,replays/1stRun\3d48b7f6c5d941f79be5c986cf7610b1.SC2Replay
634,aLive,44,1100,13,T,1,replays/1stRun\3d4d281794ef4386b8eb0b17ff3ffe72.SC2Replay
635,Harstem,49,1125,6,P,0,replays/1stRun\3d4d281794ef4386b8eb0b17ff3ffe72.SC2Replay
636,Cham,57,4025,38,Z,0,replays/1stRun\3d68cb99195744499529010d356d863e.SC2Replay
637,StevenBonnel,57,1450,7,P,1,replays/1stRun\3d68cb99195744499529010d356d863e.SC2Replay
638,Snute,58,14425,156,Z,0,replays/1stRun\3d7270c9de48479786fd78efce1da4de.SC2Replay
639,MacSed,63,8155,67,P,1,replays/1stRun\3d7270c9de48479786fd78efce1da4de.SC2Replay
640,puCK,64,1325,6,P,1,replays/1stRun\3d93c98665c34a7f8a8fdfe99e92e949.SC2Replay
641,PandaBearMe,67,2175,34,Z,0,replays/1stRun\3d93c98665c34a7f8a8fdfe99e92e949.SC2Replay
642,HeroMarine,68,3975,48,T,0,replays/1stRun\3dcf8464ee6447539ce3a28c8a73e191.SC2Replay
643,Namshar,73,5500,103,Z,1,replays/1stRun\3dcf8464ee6447539ce3a28c8a73e191.SC2Replay
644,MMA,69,3950,43,T,1,replays/1stRun\3dd38b2d11bf431b9d6552e642414738.SC2Replay
645,FeaR,62,2125,9,P,0,replays/1stRun\3dd38b2d11bf431b9d6552e642414738.SC2Replay
646,uThermal,13,300,3,T,1,replays/1stRun\3dd7e0bf26954445924b77c8df3ff443.SC2Replay
647,INnoVation,22,100,1,T,0,replays/1stRun\3dd7e0bf26954445924b77c8df3ff443.SC2Replay
648,MaSa,71,7100,46,T,0,replays/1stRun\3de2b7bd17c940aa9ced23aba229a12e.SC2Replay
649,TRUE,76,10500,83,Z,1,replays/1stRun\3de2b7bd17c940aa9ced23aba229a12e.SC2Replay
650,MeomaikA,52,2000,25,Z,1,replays/1stRun\3dee9a20640f4a58995fba9c05a3cbb7.SC2Replay
651,Crimson,45,1675,27,Z,0,replays/1stRun\3dee9a20640f4a58995fba9c05a3cbb7.SC2Replay
652,Neeb,49,825,6,P,0,replays/1stRun\3df861cc3dc745399c641b66db1af759.SC2Replay
653,TYTY,45,1125,15,T,1,replays/1stRun\3df861cc3dc745399c641b66db1af759.SC2Replay
654,Namshar,57,2725,59,Z,1,replays/1stRun\3e160b80e5ec4c308aeca521690d791c.SC2Replay
655,HellraiseR,53,2675,11,P,0,replays/1stRun\3e160b80e5ec4c308aeca521690d791c.SC2Replay
656,YoGo,35,3075,49,Z,0,replays/1stRun\3e2797c76ed94f3b905bd12d2f88ca5e.SC2Replay
657,Solar,43,3175,30,Z,1,replays/1stRun\3e2797c76ed94f3b905bd12d2f88ca5e.SC2Replay
658,viOLet,65,7400,117,Z,0,replays/1stRun\3e371694151c4e0692003046f9d8e727.SC2Replay
659,Bails,64,3625,17,P,1,replays/1stRun\3e371694151c4e0692003046f9d8e727.SC2Replay
660,EnDerr,60,9150,79,Z,0,replays/1stRun\3e62707a0ba14adf8f4dbfefa0ce4e8b.SC2Replay
661,Hydra,64,8250,70,Z,1,replays/1stRun\3e62707a0ba14adf8f4dbfefa0ce4e8b.SC2Replay
662,MaNa,64,2050,8,P,0,replays/1stRun\3e6a5dc3e98d49c8b4b1b5fad692d87f.SC2Replay
663,SpeCial,60,4325,41,T,1,replays/1stRun\3e6a5dc3e98d49c8b4b1b5fad692d87f.SC2Replay
664,Replicant,47,1575,18,T,0,replays/1stRun\3e8188757c14440c9e8e8fbd246138f9.SC2Replay
665,MaNa,52,550,3,P,1,replays/1stRun\3e8188757c14440c9e8e8fbd246138f9.SC2Replay
666,Kelazhur,65,5300,55,T,0,replays/1stRun\3e97eb04a05443a1ac79a1e96dfca1d0.SC2Replay
667,sOs,68,1250,5,P,1,replays/1stRun\3e97eb04a05443a1ac79a1e96dfca1d0.SC2Replay
668,MCanning,51,1400,5,P,0,replays/1stRun\3ea20eb7961a48d5ade6d4c3e7159c2a.SC2Replay
669,uThermal,62,3000,34,T,1,replays/1stRun\3ea20eb7961a48d5ade6d4c3e7159c2a.SC2Replay
670,Harstem,44,725,4,P,1,replays/1stRun\3ea579a84e8d48f58e4021d389c2c35d.SC2Replay
671,Guru,43,1375,14,Z,0,replays/1stRun\3ea579a84e8d48f58e4021d389c2c35d.SC2Replay
672,Bunny,53,3500,32,T,1,replays/1stRun\3ebe892cc7b24cedbe47b3f0b71babaf.SC2Replay
673,ShoWTimE,59,100,1,P,0,replays/1stRun\3ebe892cc7b24cedbe47b3f0b71babaf.SC2Replay
674,Cham,53,5200,41,Z,1,replays/1stRun\3ebff7d5eda640aea27bfc52e50c5ed6.SC2Replay
675,Erik,50,1900,17,Z,0,replays/1stRun\3ebff7d5eda640aea27bfc52e50c5ed6.SC2Replay
676,Kelazhur,45,1950,20,T,0,replays/1stRun\3ec615a91f0e4b61b4091492c51d539d.SC2Replay
677,SortOf,44,4000,28,Z,1,replays/1stRun\3ec615a91f0e4b61b4091492c51d539d.SC2Replay
678,INnoVation,18,100,1,T,1,replays/1stRun\3f14ae157d82408d8e18c4eb165286fb.SC2Replay
679,yohilo,21,0,0,T,0,replays/1stRun\3f14ae157d82408d8e18c4eb165286fb.SC2Replay
680,Zest,44,1250,6,P,1,replays/1stRun\3f626dba8c7e4b0b9ecfcd47b41bbb70.SC2Replay
681,HeRoMaRinE,43,1800,19,T,0,replays/1stRun\3f626dba8c7e4b0b9ecfcd47b41bbb70.SC2Replay
682,JonSnow,65,6950,59,Z,0,replays/1stRun\3f6748f0e61c4cbaa669dd9113b2ff7e.SC2Replay
683,Nerchio,69,7400,57,Z,1,replays/1stRun\3f6748f0e61c4cbaa669dd9113b2ff7e.SC2Replay
684,JonSnow,39,1300,16,Z,1,replays/1stRun\3f88e0cb36c94d10ac05170c72e310e5.SC2Replay
685,MaSa,36,1200,15,T,0,replays/1stRun\3f88e0cb36c94d10ac05170c72e310e5.SC2Replay
686,SortOf,63,4775,38,Z,0,replays/1stRun\3f8a086aaae94a1eb59d39605aceaaa5.SC2Replay
687,Nerchio,66,4075,42,Z,1,replays/1stRun\3f8a086aaae94a1eb59d39605aceaaa5.SC2Replay
688,ShaDoWn,38,850,4,P,1,replays/1stRun\3f8d712ca8964264b1f15ebb9c39ff51.SC2Replay
689,Buster,32,1100,13,T,0,replays/1stRun\3f8d712ca8964264b1f15ebb9c39ff51.SC2Replay
690,Ninja,28,1350,7,P,1,replays/1stRun\3f902715c783432aa90351dbf71323e2.SC2Replay
691,Poizon,31,675,4,P,0,replays/1stRun\3f902715c783432aa90351dbf71323e2.SC2Replay
692,Snute,76,10300,110,Z,1,replays/1stRun\3f97a412cea242cd89c9997b3d820a26.SC2Replay
693,TIME,66,7975,95,T,0,replays/1stRun\3f97a412cea242cd89c9997b3d820a26.SC2Replay
694,Time,31,650,5,T,1,replays/1stRun\3f99e2e574864f6098774f5ec59b7b18.SC2Replay
695,ShahriarDeMi,24,1100,9,T,0,replays/1stRun\3f99e2e574864f6098774f5ec59b7b18.SC2Replay
696,DnS,68,2225,9,P,1,replays/1stRun\3fa2aef26d0f495fb5d7fca80111d6ca.SC2Replay
697,Xaoras,59,5450,54,Z,0,replays/1stRun\3fa2aef26d0f495fb5d7fca80111d6ca.SC2Replay
698,herO,56,2800,12,P,0,replays/1stRun\3fa72edfe68a4fbaba5afb2d5c89299a.SC2Replay
699,sOs,61,2975,12,P,1,replays/1stRun\3fa72edfe68a4fbaba5afb2d5c89299a.SC2Replay
700,Mamba,44,1125,16,Z,0,replays/1stRun\3facf7040e7e4da3a49ab389059fbcff.SC2Replay
701,LiquidSnute,51,1725,18,Z,1,replays/1stRun\3facf7040e7e4da3a49ab389059fbcff.SC2Replay
702,Bunny,36,800,9,T,0,replays/1stRun\3fcb8b48a861449596e03108391839f7.SC2Replay
703,Elazer,37,1625,22,Z,1,replays/1stRun\3fcb8b48a861449596e03108391839f7.SC2Replay
704,Snute,65,3300,26,Z,1,replays/1stRun\3fd6488bd6b24b3da2ffef1b003bfffe.SC2Replay
705,MacSed,44,675,4,P,0,replays/1stRun\3fd6488bd6b24b3da2ffef1b003bfffe.SC2Replay
706,Cham,71,4675,46,Z,0,replays/1stRun\3fdbd870d3f0460bac074ece9b86d1a4.SC2Replay
707,Scarlett,67,6625,63,Z,1,replays/1stRun\3fdbd870d3f0460bac074ece9b86d1a4.SC2Replay
708,GuMiho,51,6825,76,T,1,replays/1stRun\3fe552d8711443e8895ae3241ffce5f6.SC2Replay
709,jjakji,65,8000,93,T,0,replays/1stRun\3fe552d8711443e8895ae3241ffce5f6.SC2Replay
710,BLY,41,1575,14,Z,0,replays/1stRun\4a073f93ed2d406bae7f68c6cadbd780.SC2Replay
711,LiquidSnute,44,1950,22,Z,1,replays/1stRun\4a073f93ed2d406bae7f68c6cadbd780.SC2Replay
712,TRUE,33,1175,30,Z,0,replays/1stRun\4a308b84305b4ce79d9e489b1d0f7e37.SC2Replay
713,Cham,40,1700,28,Z,1,replays/1stRun\4a308b84305b4ce79d9e489b1d0f7e37.SC2Replay
714,Scarlett,24,1850,12,Z,1,replays/1stRun\4a3d93bbcd8340e2bc8dd341750165e2.SC2Replay
715,ShaDoWn,21,125,1,P,0,replays/1stRun\4a3d93bbcd8340e2bc8dd341750165e2.SC2Replay
716,GAMETIME,51,1200,15,Z,1,replays/1stRun\4a4580272aa4409ba5af67ae0902e49a.SC2Replay
717,TheoRy,27,425,3,P,0,replays/1stRun\4a4580272aa4409ba5af67ae0902e49a.SC2Replay
718,Lambo,87,8600,109,Z,1,replays/1stRun\4a662946bf1841f1b5634afd71e26536.SC2Replay
719,lllIIIIllll,70,3700,13,P,0,replays/1stRun\4a662946bf1841f1b5634afd71e26536.SC2Replay
720,herO,64,1125,4,P,1,replays/1stRun\4ab064835fdf4dcd9cc789e33a052463.SC2Replay
721,Snute,52,3950,50,Z,0,replays/1stRun\4ab064835fdf4dcd9cc789e33a052463.SC2Replay
722,LiquidMaNa,59,3900,14,P,0,replays/1stRun\4ad9a62ad6704780afeb3aeab022a0f3.SC2Replay
723,Lambo,78,4075,83,Z,1,replays/1stRun\4ad9a62ad6704780afeb3aeab022a0f3.SC2Replay
724,SortOf,44,1750,19,Z,0,replays/1stRun\4adefb71570741a5b64dca9a46701dbf.SC2Replay
725,puCK,45,700,4,P,1,replays/1stRun\4adefb71570741a5b64dca9a46701dbf.SC2Replay
726,DnS,41,500,3,P,0,replays/1stRun\4ae90340da30426fbe2e6c32d0f8e787.SC2Replay
727,SouLeer,26,1550,24,Z,1,replays/1stRun\4ae90340da30426fbe2e6c32d0f8e787.SC2Replay
728,Harstem,74,3425,12,P,0,replays/1stRun\4af798e1a4e64df1ad28a5fef3df5fd0.SC2Replay
729,Lambo,61,12900,108,Z,1,replays/1stRun\4af798e1a4e64df1ad28a5fef3df5fd0.SC2Replay
730,Snute,46,5550,50,Z,1,replays/1stRun\4b19ab1378094f8db613ee8376044e93.SC2Replay
731,Elazer,56,3750,33,Z,0,replays/1stRun\4b19ab1378094f8db613ee8376044e93.SC2Replay
732,Scarlett,66,10300,106,Z,1,replays/1stRun\4b32dfc2839c43a5be0a0cf759647190.SC2Replay
733,Serral,68,8500,74,Z,0,replays/1stRun\4b32dfc2839c43a5be0a0cf759647190.SC2Replay
734,Zanster,25,1325,31,Z,1,replays/1stRun\4b3a1373739b4eb990176ae26e31d7b1.SC2Replay
735,Wilo,32,900,14,Z,0,replays/1stRun\4b3a1373739b4eb990176ae26e31d7b1.SC2Replay
736,ByuN,60,3100,42,T,1,replays/1stRun\4b6ece5471f64a78880936e41c391f5b.SC2Replay
