,player,total_workers,total_army_value,total_army,fraction,winner,replay_filename
278,Namshar,52,2650,48,Z,1,replays/1stRun\1c99d9883ee24295978bbc1aa1b8f42f.SC2Replay
279,ShoWTimE,52,1775,9,P,0,replays/1stRun\1c99d9883ee24295978bbc1aa1b8f42f.SC2Replay
280,Kelazhur,57,2000,25,T,1,replays/1stRun\1c9cd774e5d6456a815c3f2cfd2e34f5.SC2Replay
281,SortOf,65,2225,28,Z,0,replays/1stRun\1c9cd774e5d6456a815c3f2cfd2e34f5.SC2Replay
282,Hydra,68,5875,61,Z,1,replays/1stRun\1cb1de799b5b4f25b8655046b1ca32be.SC2Replay
283,Neeb,68,3500,15,P,0,replays/1stRun\1cb1de799b5b4f25b8655046b1ca32be.SC2Replay
284,Nerchio,33,1150,24,Z,0,replays/1stRun\1cb6660332d440739e4b08c58d95d5a1.SC2Replay
285,viOLet,29,1275,29,Z,1,replays/1stRun\1cb6660332d440739e4b08c58d95d5a1.SC2Replay
286,iGXiGua,17,725,12,Z,0,replays/1stRun\1cd389ebb208439b93fb9e168725dee0.SC2Replay
287,ZooWhaleTail,13,1125,23,Z,1,replays/1stRun\1cd389ebb208439b93fb9e168725dee0.SC2Replay
288,Serral,69,17500,113,Z,1,replays/1stRun\1cd8cd4dd3b44769bf788d1e1b8c7ff3.SC2Replay
289,TYTY,108,5850,35,T,0,replays/1stRun\1cd8cd4dd3b44769bf788d1e1b8c7ff3.SC2Replay
290,Dolan,26,450,4,T,1,replays/1stRun\1ce61a59e12348938a6d8dfdef368b16.SC2Replay
291,mLty,22,100,1,T,0,replays/1stRun\1ce61a59e12348938a6d8dfdef368b16.SC2Replay
292,PtitDrogo,60,1350,6,P,0,replays/1stRun\1ced77f0f837453780cf1a509756cb59.SC2Replay
293,Elazer,69,3750,37,Z,1,replays/1stRun\1ced77f0f837453780cf1a509756cb59.SC2Replay
294,iGJim,41,850,6,P,0,replays/1stRun\1d35869445214c448e6d743d146b81ed.SC2Replay
295,iGXY,36,1350,19,T,0,replays/1stRun\1d35869445214c448e6d743d146b81ed.SC2Replay
296,三族统领随机娜,0,0,0,U,0,replays/1stRun\1d35869445214c448e6d743d146b81ed.SC2Replay
297,iGRushcrazy,0,0,0,U,0,replays/1stRun\1d35869445214c448e6d743d146b81ed.SC2Replay
298,Petraeus,29,1500,30,Z,1,replays/1stRun\1d3f744391cf41b1969585894d7e618e.SC2Replay
299,PiG,28,1525,23,Z,0,replays/1stRun\1d3f744391cf41b1969585894d7e618e.SC2Replay
300,Ziggy,63,7200,99,T,0,replays/1stRun\1d4bb634294445558b8a83d52f02a799.SC2Replay
301,Matiz,78,11775,188,Z,1,replays/1stRun\1d4bb634294445558b8a83d52f02a799.SC2Replay
302,ShoWTimE,24,1025,6,P,0,replays/1stRun\1d4d9bc182074c09a172e3113bacf302.SC2Replay
303,HellraiseR,28,1125,6,P,1,replays/1stRun\1d4d9bc182074c09a172e3113bacf302.SC2Replay
304,Has,27,450,3,P,0,replays/1stRun\1d61279d8f2b4aad97498df2bff66547.SC2Replay
305,FireCake,22,825,18,Z,1,replays/1stRun\1d61279d8f2b4aad97498df2bff66547.SC2Replay
306,HeRoMaRinE,61,2750,25,T,1,replays/1stRun\1d90500a455e49ddb84ef9df7ffd8f6c.SC2Replay
307,MMA,58,3675,34,T,0,replays/1stRun\1d90500a455e49ddb84ef9df7ffd8f6c.SC2Replay
308,eonblu,31,900,8,Z,0,replays/1stRun\1d94bb56a52e485a9ee986c979dcc904.SC2Replay
309,TYTY,28,450,6,T,1,replays/1stRun\1d94bb56a52e485a9ee986c979dcc904.SC2Replay
310,SortOf,69,3975,53,Z,0,replays/1stRun\1d9b64ba1e2a418c9b6f12f426a6b098.SC2Replay
311,Lilbow,61,300,2,P,1,replays/1stRun\1d9b64ba1e2a418c9b6f12f426a6b098.SC2Replay
