,player,total_workers,resource_mining,total_army_value,total_army,supply,time,fraction,winner,replay_filename
657,iGJim,33,5230,950,10.0,62.0,313,P,0,replays/4thRun\83bd538ca8ee4abead4f9c9d13db7594.SC2Replay
658,iGXY,24,4677,700,12.0,47.0,304,T,0,replays/4thRun\83bd538ca8ee4abead4f9c9d13db7594.SC2Replay
659,三族统领随机娜,0,0,0,0.0,0.0,0,U,0,replays/4thRun\83bd538ca8ee4abead4f9c9d13db7594.SC2Replay
660,iGRushcrazy,0,0,0,0.0,0.0,0,U,0,replays/4thRun\83bd538ca8ee4abead4f9c9d13db7594.SC2Replay
661,Harstem,67,26584,1200,13.0,125.0,697,P,1,replays/4thRun\84a96bce9234423ebb6fa85a8c03355d.SC2Replay
662,Namshar,79,18675,6925,70.5,200.0,701,Z,0,replays/4thRun\84a96bce9234423ebb6fa85a8c03355d.SC2Replay
663,Nerchio,69,12477,4300,44.0,146.0,566,Z,1,replays/4thRun\84d01702956e430685463be3dce63721.SC2Replay
664,ShoWTimE,60,12983,1700,19.0,109.0,562,P,0,replays/4thRun\84d01702956e430685463be3dce63721.SC2Replay
665,TYTY,60,15878,2875,47.0,125.0,615,T,0,replays/4thRun\84d893b2b3294c4bb22dd59baeb5289a.SC2Replay
666,OGZest,55,21501,800,10.0,85.0,594,P,1,replays/4thRun\84d893b2b3294c4bb22dd59baeb5289a.SC2Replay
667,PtitDrogo,40,9582,1050,12.0,70.0,419,P,1,replays/4thRun\84de0c7275954f63b639682583e648f3.SC2Replay
668,McMonroe,34,6646,925,10.5,44.0,420,Z,0,replays/4thRun\84de0c7275954f63b639682583e648f3.SC2Replay
669,Stats,61,25625,775,8.0,93.0,610,P,1,replays/4thRun\85ad56f0e29641ad8083cbf60640cd63.SC2Replay
670,aLive,37,15590,2650,40.0,94.0,624,T,0,replays/4thRun\85ad56f0e29641ad8083cbf60640cd63.SC2Replay
671,Lambo,56,14034,5100,59.0,146.0,548,Z,1,replays/4thRun\85c7af4dfee747e8a410a7bde87eee3a.SC2Replay
672,llllllllllll,44,9908,1800,21.0,102.0,459,P,0,replays/4thRun\85c7af4dfee747e8a410a7bde87eee3a.SC2Replay
673,GOStephano,51,18274,6050,71.0,154.0,597,Z,0,replays/4thRun\85cf7eab1c804b84b61fc217bd884e7b.SC2Replay
674,OGZest,55,17936,1775,19.0,117.0,562,P,1,replays/4thRun\85cf7eab1c804b84b61fc217bd884e7b.SC2Replay
675,lllIIIIllll,43,8232,1350,16.0,70.0,390,P,0,replays/4thRun\85f4e541470a4b3bab72161cfaf34abf.SC2Replay
676,TSGSolar,43,7877,1650,12.0,90.0,400,Z,1,replays/4thRun\85f4e541470a4b3bab72161cfaf34abf.SC2Replay
677,Ryung,68,28203,2300,34.0,117.0,656,T,0,replays/4thRun\86a5f2c387fe4ed2a025e039d13097dd.SC2Replay
678,Snute,73,32231,2850,17.0,138.0,650,Z,1,replays/4thRun\86a5f2c387fe4ed2a025e039d13097dd.SC2Replay
679,BackupC,65,26516,4325,60.0,133.0,762,T,1,replays/4thRun\86b0ec9cbbb44482967750e5b038a180.SC2Replay
680,Mackintac,41,27799,5750,78.0,146.0,768,Z,0,replays/4thRun\86b0ec9cbbb44482967750e5b038a180.SC2Replay
681,Elazer,42,7569,2550,26.0,92.0,401,Z,1,replays/4thRun\86b35eec6a68479392dcac8e4cfff43d.SC2Replay
682,Sioras,29,11925,2800,37.0,76.0,404,Z,0,replays/4thRun\86b35eec6a68479392dcac8e4cfff43d.SC2Replay
683,DnS,42,7431,875,9.0,78.0,373,P,1,replays/4thRun\86b62ba6bfb14606994eb73fe3ae0280.SC2Replay
684,ZenedoR,24,6880,1775,20.5,50.0,359,Z,0,replays/4thRun\86b62ba6bfb14606994eb73fe3ae0280.SC2Replay
685,Elazer,37,5847,1925,18.5,66.0,355,Z,0,replays/4thRun\86c1035a2cd64de2a609a437a3f7402a.SC2Replay
686,Scarlett,34,6024,1900,16.0,74.0,367,Z,1,replays/4thRun\86c1035a2cd64de2a609a437a3f7402a.SC2Replay
687,PartinG,22,5265,1150,14.0,55.0,417,P,0,replays/4thRun\86cf41e51c3e4e41a8cd618f3e4c6c20.SC2Replay
688,GOStephano,34,13779,1325,13.5,58.0,462,Z,1,replays/4thRun\86cf41e51c3e4e41a8cd618f3e4c6c20.SC2Replay
689,aLive,47,25255,4275,70.0,142.0,669,T,1,replays/4thRun\86e5d2974c334a8e97fadcde221f1c3b.SC2Replay
690,Harstem,63,16422,2025,18.0,149.0,676,P,0,replays/4thRun\86e5d2974c334a8e97fadcde221f1c3b.SC2Replay
691,MaSa,69,29633,3875,60.0,149.0,741,T,1,replays/4thRun\87a5b1a42a3041f88fc6a87d936d448f.SC2Replay
