,player,total_workers,total_army_value,total_army,time,fraction,winner,replay_filename,resource_consumption,resource_mining
70,PtitDrogo,52,2050,8,547,P,1,replays/1stRun\0a3f679d3f764ba5bcace0cc212283f6.SC2Replay,2856.25,11377.6
71,Zanster,54,5600,56,581,Z,0,replays/1stRun\0a3f679d3f764ba5bcace0cc212283f6.SC2Replay,2800.0,12549.6
72,Semper,70,2800,37,677,T,1,replays/1stRun\0a4018f1fd1c4bbebe7ade69b266ad3e.SC2Replay,3575.675675675676,18956.0
73,GAMETIME,68,4375,75,676,Z,0,replays/1stRun\0a4018f1fd1c4bbebe7ade69b266ad3e.SC2Replay,3458.333333333333,18387.2
74,MaNa,68,1050,5,571,P,1,replays/1stRun\0a5d5a0d30434374a8b68439eb77e8e6.SC2Replay,3610.0,15531.2
75,Semper,53,2550,29,560,T,0,replays/1stRun\0a5d5a0d30434374a8b68439eb77e8e6.SC2Replay,2737.9310344827586,11872.000000000002
76,Happy,50,5500,58,698,T,1,replays/1stRun\0a854a4e213c4aefbc29847a7a7e4154.SC2Replay,2594.8275862068967,13960.0
77,LiquidSnute,59,5650,77,906,Z,0,replays/1stRun\0a854a4e213c4aefbc29847a7a7e4154.SC2Replay,3023.3766233766232,21381.600000000002
78,Serral,64,2375,41,553,Z,1,replays/1stRun\0a88e261c0b24c69aff1f4cc03c48ca3.SC2Replay,3257.9268292682927,14156.800000000001
79,PiLiPiLi,60,875,4,545,P,0,replays/1stRun\0a88e261c0b24c69aff1f4cc03c48ca3.SC2Replay,3218.75,13080.0
80,LiquidMaNa,26,800,5,256,P,1,replays/1stRun\0a9d58a1fbdb4e0fbcb97c05931e702c.SC2Replay,1460.0,2662.4
81,PiLiPiLi,22,600,4,249,P,0,replays/1stRun\0a9d58a1fbdb4e0fbcb97c05931e702c.SC2Replay,1250.0,2191.2000000000003
82,Bunny,49,6250,68,664,T,0,replays/1stRun\0aaa41bfcbc842e0aa07d54903e047ac.SC2Replay,2541.9117647058824,13014.400000000001
83,OGZest,67,2075,9,623,P,1,replays/1stRun\0aaa41bfcbc842e0aa07d54903e047ac.SC2Replay,3580.555555555556,16696.4
84,Reynor,63,4175,74,750,Z,1,replays/1stRun\0ad6212af6f4421bb1a57416f5e18260.SC2Replay,3206.4189189189187,18900.000000000004
85,TIME,55,3250,44,729,T,0,replays/1stRun\0ad6212af6f4421bb1a57416f5e18260.SC2Replay,2823.8636363636365,16038.0
86,Lambo,53,2600,41,439,Z,1,replays/1stRun\0af524f25d0e4b52bd627d174689901f.SC2Replay,2713.414634146341,9306.800000000001
87,Torkk,46,700,4,423,P,0,replays/1stRun\0af524f25d0e4b52bd627d174689901f.SC2Replay,2475.0,7783.200000000001
88,Neeb,67,2150,6,715,P,1,replays/1stRun\0afe83b7e09c4dca8dbba36e6e9a26b0.SC2Replay,3708.3333333333335,19162.0
89,Reynor,63,4625,52,742,Z,0,replays/1stRun\0afe83b7e09c4dca8dbba36e6e9a26b0.SC2Replay,3238.942307692308,18698.4
90,AdminA,52,875,5,658,P,1,replays/1stRun\0aff07944d6947278b242fbe4c5336c5.SC2Replay,2775.0,13686.4
91,ObiWanPwnobi,48,3825,12,678,P,0,replays/1stRun\0aff07944d6947278b242fbe4c5336c5.SC2Replay,2718.75,13017.600000000002
92,Serral,80,8725,56,782,Z,1,replays/1stRun\0b0f556784fe4a3fa28de5e252f5685d.SC2Replay,4155.803571428572,25024.0
93,MaNa,79,5425,19,782,P,0,replays/1stRun\0b0f556784fe4a3fa28de5e252f5685d.SC2Replay,4235.526315789473,24711.2
94,Scarlett,68,3600,39,537,Z,0,replays/1stRun\0b1e09198950470dbaab56854929ac00.SC2Replay,3492.3076923076924,14606.400000000001
95,Serral,68,3325,38,528,Z,1,replays/1stRun\0b1e09198950470dbaab56854929ac00.SC2Replay,3487.5,14361.600000000002
96,Scarlett,24,650,12,252,Z,1,replays/1stRun\0b266ab152d046be92550a6df6df6aa0.SC2Replay,1254.1666666666667,2419.2000000000003
97,DnS,28,250,2,244,P,0,replays/1stRun\0b266ab152d046be92550a6df6df6aa0.SC2Replay,1525.0,2732.8
98,Cham,48,4725,67,597,Z,0,replays/1stRun\0b26e7b216f449bfb8735bc1f7beeadb.SC2Replay,2470.5223880597014,11462.400000000001
99,PiLiPiLi,45,400,2,549,P,1,replays/1stRun\0b26e7b216f449bfb8735bc1f7beeadb.SC2Replay,2450.0,9882.0
100,Lambo,73,2725,36,555,Z,1,replays/1stRun\0b2926a7cdb146bba48e5176402d0790.SC2Replay,3725.694444444444,16206.000000000002
101,Bones,55,2225,8,572,P,0,replays/1stRun\0b2926a7cdb146bba48e5176402d0790.SC2Replay,3028.125,12584.0
102,DnS,70,5350,16,1008,P,1,replays/1stRun\0b2e9b831cdf46859370954c55e258ed.SC2Replay,3834.375,28224.0
103,Zanster,76,8325,129,1036,Z,0,replays/1stRun\0b2e9b831cdf46859370954c55e258ed.SC2Replay,3864.5348837209294,31494.4
104,Lambo,66,5675,50,620,Z,1,replays/1stRun\0b310b46c51b439da97779557703426e.SC2Replay,3413.5,16368.000000000002
105,lllIIIIllll,61,1550,6,622,P,0,replays/1stRun\0b310b46c51b439da97779557703426e.SC2Replay,3308.333333333333,15176.800000000001
106,TYTY,42,1500,16,436,T,1,replays/1stRun\0b40bd2bdec9459a8f7e9153079c5f42.SC2Replay,2193.75,7324.8
107,Stats,48,650,5,427,P,0,replays/1stRun\0b40bd2bdec9459a8f7e9153079c5f42.SC2Replay,2530.0,8198.400000000001
108,HeroMarine,81,7600,43,1419,T,1,replays/1stRun\0b46816a2e5e4d518be0ddf2bae77fc8.SC2Replay,4226.744186046512,45975.6
109,Reynor,81,11700,138,1150,Z,0,replays/1stRun\0b46816a2e5e4d518be0ddf2bae77fc8.SC2Replay,4134.782608695652,37260.0
110,Ziggy,23,500,5,247,T,1,replays/1stRun\0b643223129f45ecb5404f1ede4d3600.SC2Replay,1250.0,2272.4
111,Allaryce,21,700,9,239,Z,0,replays/1stRun\0b643223129f45ecb5404f1ede4d3600.SC2Replay,1127.7777777777778,2007.6000000000001
112,HuK,66,3825,13,767,P,1,replays/1stRun\0b72ed592d3e450f9ae225bd66ba9349.SC2Replay,3594.230769230769,20248.800000000003
113,PiG,81,7375,77,754,Z,0,replays/1stRun\0b72ed592d3e450f9ae225bd66ba9349.SC2Replay,4145.779220779221,24429.6
114,TIME,26,1000,12,341,T,1,replays/1stRun\0ba886233be243c0be4c89073a24053e.SC2Replay,1383.3333333333333,3546.4
115,iGJim,36,750,4,324,P,0,replays/1stRun\0ba886233be243c0be4c89073a24053e.SC2Replay,1987.5,4665.6
116,Kelazhur,66,6200,82,879,T,1,replays/1stRun\0bae1323a48944abb93ea9bafc089bf3.SC2Replay,3375.609756097561,23205.600000000002
117,Nerchio,79,6650,80,824,Z,0,replays/1stRun\0bae1323a48944abb93ea9bafc089bf3.SC2Replay,4033.125,26038.4
118,Bails,35,1250,9,375,P,0,replays/1stRun\0bbceacbad5c45d29d7da553166c0576.SC2Replay,1888.888888888889,5250.0
119,viOLet,44,1275,21,384,Z,1,replays/1stRun\0bbceacbad5c45d29d7da553166c0576.SC2Replay,2260.714285714286,6758.400000000001
120,Sen,74,9500,71,790,Z,1,replays/1stRun\0bf0faa7167640ab870cced41eec1d5f.SC2Replay,3833.802816901408,23384.0
121,Rex,57,10300,85,782,Z,0,replays/1stRun\0bf0faa7167640ab870cced41eec1d5f.SC2Replay,2971.176470588235,17829.600000000002
122,GOStephano,48,2550,38,482,Z,1,replays/1stRun\0bf108f528dc41e19d0a3180e73e7464.SC2Replay,2467.1052631578946,9254.400000000001
123,Clem,36,1200,18,492,T,0,replays/1stRun\0bf108f528dc41e19d0a3180e73e7464.SC2Replay,1866.6666666666667,7084.8
124,Bly,72,7675,56,907,Z,1,replays/1stRun\0c1b809041c84eaeadbc577fa77dd088.SC2Replay,3737.053571428572,26121.600000000002
125,DeMusliM,60,5675,29,912,T,0,replays/1stRun\0c1b809041c84eaeadbc577fa77dd088.SC2Replay,3195.689655172414,21888.0
126,Elazer,53,5675,53,550,Z,1,replays/1stRun\0c28621f56e645069d007f4fec9eda07.SC2Replay,2757.075471698113,11660.000000000002
127,MacSed,60,1625,8,554,P,0,replays/1stRun\0c28621f56e645069d007f4fec9eda07.SC2Replay,3203.125,13296.0
128,Serral,26,850,8,265,Z,1,replays/1stRun\0c2a28b6e7f44a7c96723532ad582aa8.SC2Replay,1406.25,2756.0
129,Elazer,14,1350,32,269,Z,0,replays/1stRun\0c2a28b6e7f44a7c96723532ad582aa8.SC2Replay,742.1875,1506.4
130,Kozan,50,2600,34,533,T,0,replays/1stRun\0c2c2182c5b94ad6b41d0c7a1e4e99e6.SC2Replay,2576.470588235294,10660.0
131,Stephano,56,4325,84,564,Z,1,replays/1stRun\0c2c2182c5b94ad6b41d0c7a1e4e99e6.SC2Replay,2851.4880952380954,12633.6
132,Nerchio,63,8750,68,901,Z,1,replays/1stRun\0c33faac26dc4d77a943d39face7aa6c.SC2Replay,3278.676470588235,22705.200000000004
133,HuK,63,3300,12,896,P,0,replays/1stRun\0c33faac26dc4d77a943d39face7aa6c.SC2Replay,3425.0,22579.200000000004
134,Scarlett,59,3100,33,636,Z,0,replays/1stRun\0c4684f2ad5c453d9b76f535acce69de.SC2Replay,3043.939393939394,15009.6
135,Serral,68,3525,31,636,Z,1,replays/1stRun\0c4684f2ad5c453d9b76f535acce69de.SC2Replay,3513.709677419354,17299.2
136,Neeb,39,1475,7,605,P,0,replays/1stRun\0c5ec7ef37ff435884bcb01d294e0baa.SC2Replay,2160.714285714286,9438.0
137,Semper,45,1700,20,607,T,1,replays/1stRun\0c5ec7ef37ff435884bcb01d294e0baa.SC2Replay,2335.0,10926.0
138,Warren,46,2450,36,454,Z,0,replays/1stRun\0c68c1b99c6346039c3900c63ca8ba42.SC2Replay,2368.055555555556,8353.6
139,FeaR,51,650,4,483,P,1,replays/1stRun\0c68c1b99c6346039c3900c63ca8ba42.SC2Replay,2712.5,9853.2
140,SouLeer,60,4650,40,613,Z,0,replays/1stRun\0c75f3c15b7542d8b4098973f3a05f5c.SC2Replay,3116.25,14712.0
141,llllllllllll,56,1550,6,594,P,1,replays/1stRun\0c75f3c15b7542d8b4098973f3a05f5c.SC2Replay,3058.333333333333,13305.6
142,Zest,65,5550,21,775,P,0,replays/1stRun\0c82bae763c14d4c82649074195f5b9f.SC2Replay,3514.285714285714,20150.0
143,Solar,67,10200,92,772,Z,1,replays/1stRun\0c82bae763c14d4c82649074195f5b9f.SC2Replay,3460.8695652173915,20689.600000000002
144,MaSa,20,200,2,207,T,1,replays/1stRun\0c836ca5710a47cfb8c58eb6f9690753.SC2Replay,1100.0,1656.0
145,SirRobin,21,200,2,207,Z,0,replays/1stRun\0c836ca5710a47cfb8c58eb6f9690753.SC2Replay,1150.0,1738.8000000000002
146,CMStormPolt,41,2250,31,653,T,1,replays/1stRun\0c9cc58ddec647d190f7f39c706b8c96.SC2Replay,2122.5806451612902,10709.2
147,viOLet,54,4300,55,710,Z,0,replays/1stRun\0c9cc58ddec647d190f7f39c706b8c96.SC2Replay,2778.181818181818,15336.000000000002
148,Ziggy,50,4050,62,886,T,0,replays/1stRun\0c9fb18d1c914bc6bf75146063b43506.SC2Replay,2565.322580645161,17720.0
149,Zanster,68,6800,106,886,Z,1,replays/1stRun\0c9fb18d1c914bc6bf75146063b43506.SC2Replay,3464.1509433962265,24099.2
150,Hymy,75,3125,10,748,P,1,replays/1stRun\0ca04ff7659941b19c2d647d393d0a52.SC2Replay,4062.5,22440.0
151,ZergGirl,82,9075,89,780,Z,0,replays/1stRun\0ca04ff7659941b19c2d647d393d0a52.SC2Replay,4201.966292134832,25584.000000000004
152,puCK,56,1075,5,758,P,1,replays/1stRun\0cbd28b4a7994958809e14e72f9f03d2.SC2Replay,3015.0,16979.2
153,MaSa,51,4875,46,733,T,0,replays/1stRun\0cbd28b4a7994958809e14e72f9f03d2.SC2Replay,2655.978260869565,14953.2
154,DnS,29,525,3,325,P,1,replays/1stRun\0cc3a0a45d9d4d7982241f86f57b0192.SC2Replay,1625.0,3770.0000000000005
155,Future,26,450,3,274,T,0,replays/1stRun\0cc3a0a45d9d4d7982241f86f57b0192.SC2Replay,1450.0,2849.6
156,uThermal,67,1650,9,677,T,1,replays/1stRun\0ccd5ece04df40909c045bf854251e62.SC2Replay,3533.333333333333,18143.600000000002
157,Nerchio,68,3250,30,560,Z,0,replays/1stRun\0ccd5ece04df40909c045bf854251e62.SC2Replay,3508.333333333333,15232.000000000002
158,Harstem,77,1625,7,780,P,1,replays/1stRun\0cd9a7425f2546eba57471bb1091b083.SC2Replay,4082.142857142857,24024.0
159,GOStephano,64,9075,150,767,Z,0,replays/1stRun\0cd9a7425f2546eba57471bb1091b083.SC2Replay,3260.5,19635.2
160,liquidthermy,41,1650,14,448,T,1,replays/1stRun\0cddc0a09fe04d0b8de5f19ba922474f.SC2Replay,2167.8571428571427,7347.200000000001
161,RlSky,52,2475,36,456,Z,0,replays/1stRun\0cddc0a09fe04d0b8de5f19ba922474f.SC2Replay,2668.75,9484.800000000001
162,LiquidSnute,49,1900,27,412,Z,0,replays/1stRun\0ced84a2f50a46fda611f657ae8a6723.SC2Replay,2520.3703703703704,8075.200000000001
163,FanTaSy,40,1500,15,407,T,1,replays/1stRun\0ced84a2f50a46fda611f657ae8a6723.SC2Replay,2100.0,6512.0
164,Bly,70,4500,45,664,Z,0,replays/1stRun\0cf9fe5c2a6349d4ac669583532a6e26.SC2Replay,3600.0,18592.0
165,SpeCial,67,4350,48,699,T,1,replays/1stRun\0cf9fe5c2a6349d4ac669583532a6e26.SC2Replay,3440.625,18733.2
166,TRUE,58,4925,72,576,Z,0,replays/1stRun\0d0465cd596544d2bd79e5dbbefd410a.SC2Replay,2968.402777777778,13363.2
167,PiLiPiLi,48,1650,8,520,P,1,replays/1stRun\0d0465cd596544d2bd79e5dbbefd410a.SC2Replay,2606.25,9984.000000000002
168,Kelazhur,60,3300,39,694,T,1,replays/1stRun\0d1eabc153d044009d80f17c4341b8ff.SC2Replay,3084.6153846153848,16656.0
