,player,total_workers,resource_mining,total_army_value,total_army,supply,time,fraction,winner,replay_filename
2925,Solar,73,22325,3650,32.0,106.0,676,Zerg,0,replays/4thRun\696b0c9625e242e9b9a8b9d3966b099c.SC2Replay
2926,ShoWTimE,69,33593,5325,55.0,204.0,961,Protoss,1,replays/4thRun\697cf8e6cbdb4c848971492a0652ca91.SC2Replay
2927,Namshar,77,41858,8675,100.5,224.0,898,Zerg,0,replays/4thRun\697cf8e6cbdb4c848971492a0652ca91.SC2Replay
2928,sOs,60,13469,950,8.0,93.0,530,Protoss,0,replays/4thRun\699cd99ed86745fdbd4b73e3718387b6.SC2Replay
2929,ByuN,53,16255,1225,21.0,93.0,524,Terraner,1,replays/4thRun\699cd99ed86745fdbd4b73e3718387b6.SC2Replay
2930,Neeb,27,11244,900,10.0,46.0,483,Protoss,0,replays/4thRun\700a69a24855468b968f867ad57d1e63.SC2Replay
2931,TLO,47,7578,1325,9.5,68.0,473,Zerg,1,replays/4thRun\700a69a24855468b968f867ad57d1e63.SC2Replay
2932,LiquidSnute,22,7466,1350,14.0,52.0,332,Zerg,0,replays/4thRun\701b822481cd4efe87be3b0441619e84.SC2Replay
2933,PartinG,30,5708,525,6.0,62.0,334,Protoss,1,replays/4thRun\701b822481cd4efe87be3b0441619e84.SC2Replay
2934,MarineLorD,69,29356,7925,104.0,212.0,765,Terraner,0,replays/4thRun\702d104f32e94dde86cc48ea772234cb.SC2Replay
2935,Happy,95,69952,4075,51.0,256.0,1306,Terraner,1,replays/4thRun\702d104f32e94dde86cc48ea772234cb.SC2Replay
2936,Drunkenboi,44,10583,1750,32.0,78.0,519,Terraner,1,replays/4thRun\703c55d07297478585cc9dffff7a8ffb.SC2Replay
2937,puCK,40,19114,850,10.0,70.0,509,Protoss,0,replays/4thRun\703c55d07297478585cc9dffff7a8ffb.SC2Replay
2938,BLY,73,79614,11600,105.0,188.0,1011,Zerg,0,replays/4thRun\707a334695e84e69b0e15aa6c3a18c2f.SC2Replay
2939,puCK,65,44125,1000,11.0,173.0,887,Protoss,1,replays/4thRun\707a334695e84e69b0e15aa6c3a18c2f.SC2Replay
2940,Snute,69,36881,8200,90.0,194.0,825,Zerg,0,replays/4thRun\70fa7009c52041c99b119dc363beb171.SC2Replay
2941,Kelazhur,66,68454,7400,118.0,204.0,1093,Terraner,1,replays/4thRun\70fa7009c52041c99b119dc363beb171.SC2Replay
2942,TRUE,62,25187,8150,110.0,194.0,779,Zerg,1,replays/4thRun\713f46ff574d43df9b12d51a9fbe360b.SC2Replay
2943,Zanster,67,21716,6750,83.0,186.0,778,Zerg,0,replays/4thRun\713f46ff574d43df9b12d51a9fbe360b.SC2Replay
2944,PtitDrogo,65,20447,2275,24.0,133.0,590,Protoss,1,replays/4thRun\714bf2fde87e4a0f84d50afc4b38dfc1.SC2Replay
2945,Zanster,51,13724,4350,49.0,122.0,591,Zerg,0,replays/4thRun\714bf2fde87e4a0f84d50afc4b38dfc1.SC2Replay
2946,Petraeus,35,10047,1425,9.5,60.0,484,Zerg,0,replays/4thRun\717b5aa7e763418795ffb4d69a69f136.SC2Replay
2947,PiG,32,17368,1525,8.5,68.0,483,Zerg,1,replays/4thRun\717b5aa7e763418795ffb4d69a69f136.SC2Replay
2948,Namshar,67,52288,9625,127.5,208.0,935,Zerg,1,replays/4thRun\718ca1938d5b4371bd737b25667d92d9.SC2Replay
2949,Denver,65,29898,9900,122.0,216.0,968,Zerg,0,replays/4thRun\718ca1938d5b4371bd737b25667d92d9.SC2Replay
2950,iaguz,66,38060,3825,59.0,149.0,732,Terraner,0,replays/4thRun\71a949076f5846b4ac0f9434cff7ceca.SC2Replay
2951,TooDming,73,28804,5300,57.0,142.0,731,Zerg,1,replays/4thRun\71a949076f5846b4ac0f9434cff7ceca.SC2Replay
2952,AxImpact,34,12525,3200,43.0,66.0,497,Zerg,1,replays/4thRun\71b1be58e8134bf9b74bc9fac2bc7ada.SC2Replay
2953,Optimus,43,14937,1125,18.0,70.0,485,Terraner,0,replays/4thRun\71b1be58e8134bf9b74bc9fac2bc7ada.SC2Replay
2954,Cham,62,10127,3300,34.0,114.0,547,Zerg,1,replays/4thRun\71bfd8913627417a963ce43ffe1e84ce.SC2Replay
2955,Scarlett,45,7824,1500,16.0,70.0,407,Protoss,0,replays/4thRun\71bfd8913627417a963ce43ffe1e84ce.SC2Replay
2956,sOs,56,82105,6150,65.0,244.0,1216,Protoss,1,replays/4thRun\71c1d12498844572a4c8881debd1cadc.SC2Replay
2957,herO,55,50182,5100,53.0,189.0,1211,Protoss,0,replays/4thRun\71c1d12498844572a4c8881debd1cadc.SC2Replay
2958,MaSa,66,42764,3600,47.0,148.0,775,Terraner,0,replays/4thRun\71ea21f4561a425fa8136b9a2532af2e.SC2Replay
2959,Snute,77,48223,7800,62.0,128.0,806,Zerg,1,replays/4thRun\71ea21f4561a425fa8136b9a2532af2e.SC2Replay
2960,Optimus,59,32458,7025,117.0,188.0,961,Terraner,0,replays/4thRun\71ecf896cb91458b90457cf3c345ccb7.SC2Replay
2961,McMonroe,80,58354,11775,114.5,214.0,931,Zerg,1,replays/4thRun\71ecf896cb91458b90457cf3c345ccb7.SC2Replay
2962,Zanster,73,24689,3650,35.0,130.0,656,Zerg,0,replays/4thRun\71f58b2b320643f698b70bb12aa66142.SC2Replay
2963,Has,74,32028,4175,42.0,172.0,748,Protoss,1,replays/4thRun\71f58b2b320643f698b70bb12aa66142.SC2Replay
2964,Namshar,28,5638,1600,16.0,52.0,321,Zerg,1,replays/4thRun\722d1101cff1425dac54945c639bfc38.SC2Replay
2965,aLo,28,6816,900,9.0,36.0,315,Zerg,0,replays/4thRun\722d1101cff1425dac54945c639bfc38.SC2Replay
2966,Gremory,40,14392,4600,56.0,114.0,555,Zerg,0,replays/4thRun\728f084aac8c47aba09679074a2df7c4.SC2Replay
2967,RiSky,50,15185,4300,43.0,122.0,564,Zerg,1,replays/4thRun\728f084aac8c47aba09679074a2df7c4.SC2Replay
2968,Solar,33,4817,825,7.5,44.0,298,Zerg,1,replays/4thRun\728fae0d995e4ab58eb5f92e5e389ea5.SC2Replay
2969,lIIllllIIlll,30,5721,350,6.0,46.0,296,Terraner,0,replays/4thRun\728fae0d995e4ab58eb5f92e5e389ea5.SC2Replay
2970,soO,88,73254,11075,105.5,222.0,985,Zerg,1,replays/4thRun\729ec6132b2c468ba4228976cd262b3f.SC2Replay
2971,OGZest,68,110004,6775,66.0,204.0,1236,Protoss,0,replays/4thRun\729ec6132b2c468ba4228976cd262b3f.SC2Replay
2972,iGXY,63,25879,3725,61.0,149.0,692,Terraner,1,replays/4thRun\72b6c7dcb677476d8b0b3b24c8551088.SC2Replay
2973,三族统领随机娜,56,22013,2350,24.0,125.0,699,Protoss,1,replays/4thRun\72b6c7dcb677476d8b0b3b24c8551088.SC2Replay
2974,Cloudy,0,0,0,0.0,0.0,0,0,0,replays/4thRun\72b6c7dcb677476d8b0b3b24c8551088.SC2Replay
2975,iGiA,0,0,0,0.0,0.0,0,0,0,replays/4thRun\72b6c7dcb677476d8b0b3b24c8551088.SC2Replay
2976,ShoWTimE,43,27806,2200,25.0,133.0,748,Protoss,0,replays/4thRun\72c4bbd752dd4123a04e2834b3231d5c.SC2Replay
2977,Neeb,42,18514,2550,29.0,118.0,710,Protoss,1,replays/4thRun\72c4bbd752dd4123a04e2834b3231d5c.SC2Replay
2978,Harstem,46,8908,1200,18.0,78.0,418,Protoss,1,replays/4thRun\72e736e0e02d42e4937fa5e9b3a93e56.SC2Replay
2979,JonSnow,29,8946,2375,29.5,74.0,422,Zerg,0,replays/4thRun\72e736e0e02d42e4937fa5e9b3a93e56.SC2Replay
2980,iAsonu,39,20373,6125,76.5,140.0,719,Zerg,1,replays/4thRun\72f71081bfcc4000bc25b636896f7cf2.SC2Replay
2981,Probe,25,15399,875,11.0,71.0,541,Protoss,0,replays/4thRun\72f71081bfcc4000bc25b636896f7cf2.SC2Replay
2982,Gremory,13,2406,850,10.0,30.0,221,Zerg,0,replays/4thRun\733dd78de06d4f17a50b8b7850fe97cc.SC2Replay
2983,RiSky,16,2610,750,8.0,36.0,221,Zerg,1,replays/4thRun\733dd78de06d4f17a50b8b7850fe97cc.SC2Replay
2984,Namshar,73,79563,13675,102.5,204.0,1149,Zerg,1,replays/4thRun\734ea04b326c415daa7f6c31563c7e68.SC2Replay
2985,Indy,67,35518,3775,39.0,188.0,843,Protoss,0,replays/4thRun\734ea04b326c415daa7f6c31563c7e68.SC2Replay
2986,FWHas,25,3643,625,8.0,39.0,251,Protoss,1,replays/4thRun\736edd3b854e4696969a17d45a412d1f.SC2Replay
2987,Expect,25,6360,250,4.0,46.0,298,Terraner,0,replays/4thRun\736edd3b854e4696969a17d45a412d1f.SC2Replay
2988,ZenedoR,22,9047,2050,26.0,58.0,463,Zerg,0,replays/4thRun\739ae3c6e9654277b932e0755e3f00e6.SC2Replay
2989,puCK,44,8934,400,4.0,62.0,415,Protoss,1,replays/4thRun\739ae3c6e9654277b932e0755e3f00e6.SC2Replay
2990,Snute,73,35263,6825,67.5,206.0,719,Zerg,1,replays/4thRun\73a8ce7fe580442ca56a054d75de1dde.SC2Replay
2991,MaSa,60,25530,4400,69.0,157.0,733,Terraner,0,replays/4thRun\73a8ce7fe580442ca56a054d75de1dde.SC2Replay
2992,Serral,81,40964,10675,103.5,220.0,890,Zerg,1,replays/4thRun\73bb0e6aed1140978af5368b31ea8388.SC2Replay
2993,INnoVation,84,38866,6475,95.0,204.0,953,Terraner,0,replays/4thRun\73bb0e6aed1140978af5368b31ea8388.SC2Replay
2994,Elazer,39,5036,1425,12.5,58.0,335,Zerg,1,replays/4thRun\73bb7701d18a4a02a97d15181c755a1e.SC2Replay
2995,DeMusliM,34,7005,750,12.0,54.0,339,Terraner,0,replays/4thRun\73bb7701d18a4a02a97d15181c755a1e.SC2Replay
2996,Elazer,19,5256,1550,21.0,44.0,370,Zerg,0,replays/4thRun\73c29bc9ea8c444fa161e1f54d726845.SC2Replay
2997,Has,29,7100,925,12.0,54.0,370,Protoss,1,replays/4thRun\73c29bc9ea8c444fa161e1f54d726845.SC2Replay
2998,PandaBearMe,19,2655,400,2.0,36.0,201,Zerg,1,replays/4thRun\73d04af7dce043d79424ddf214085744.SC2Replay
2999,Livibee,14,2494,500,6.0,22.0,182,Zerg,0,replays/4thRun\73d04af7dce043d79424ddf214085744.SC2Replay
3000,liquidthermy,66,24202,5325,70.0,149.0,746,Terraner,0,replays/4thRun\73ec1f71f0a24b8f9b002497e4f84f67.SC2Replay
3001,Guru,85,50984,4600,43.0,176.0,754,Zerg,1,replays/4thRun\73ec1f71f0a24b8f9b002497e4f84f67.SC2Replay
3002,Lambo,52,10923,3450,37.0,114.0,485,Zerg,1,replays/4thRun\73fc3e1dac204794b1f0647fc0ef8e67.SC2Replay
3003,Reynor,56,11589,3950,45.0,114.0,486,Zerg,0,replays/4thRun\73fc3e1dac204794b1f0647fc0ef8e67.SC2Replay
3004,MMA,75,62388,9500,126.0,225.0,1010,Terraner,0,replays/4thRun\73ff532102f84ab28f2cac00bd58bc4c.SC2Replay
3005,Stephano,92,51974,11975,111.5,238.0,921,Zerg,1,replays/4thRun\73ff532102f84ab28f2cac00bd58bc4c.SC2Replay
3006,Ghost,36,13508,1775,20.0,70.0,484,Terraner,0,replays/4thRun\740fb1a3678f4e6e91f19c1d79223a3e.SC2Replay
3007,Pokebunny,46,11388,1575,20.0,78.0,479,Terraner,1,replays/4thRun\740fb1a3678f4e6e91f19c1d79223a3e.SC2Replay
3008,Demi,47,10615,3775,36.5,130.0,497,Zerg,0,replays/4thRun\744b8b13cb1948a6847d5d2da8a55098.SC2Replay
3009,puCK,53,15412,1600,19.0,101.0,615,Protoss,1,replays/4thRun\744b8b13cb1948a6847d5d2da8a55098.SC2Replay
3010,LiquidSnute,73,65549,11600,119.0,190.0,974,Zerg,1,replays/4thRun\744dbee879234de18df8f90692b2a5f3.SC2Replay
3011,JJAKJI,71,35549,6825,99.0,204.0,884,Terraner,0,replays/4thRun\744dbee879234de18df8f90692b2a5f3.SC2Replay
3012,Lambo,38,7979,1650,15.0,52.0,382,Zerg,1,replays/4thRun\747e96d211f44a3ebd1b929b47a99723.SC2Replay
3013,LiquidSnute,41,8178,1475,13.5,74.0,432,Zerg,0,replays/4thRun\747e96d211f44a3ebd1b929b47a99723.SC2Replay
3014,AdminC,69,62000,10175,96.5,192.0,1191,Zerg,0,replays/4thRun\748b15a8c0224ddc883a6ff39d30ae22.SC2Replay
3015,MaSa,52,68453,6250,94.0,165.0,1178,Terraner,1,replays/4thRun\748b15a8c0224ddc883a6ff39d30ae22.SC2Replay
3016,LiquidTLO,59,9363,2600,20.0,106.0,537,Zerg,0,replays/4thRun\749c955561674d90bc3a84a2efe1b2c5.SC2Replay
3017,llllllllllll,50,16181,1900,19.0,102.0,525,Protoss,1,replays/4thRun\749c955561674d90bc3a84a2efe1b2c5.SC2Replay
3018,FanTaSy,62,21227,2950,43.0,117.0,799,Terraner,1,replays/4thRun\74a6a2b3078b4e9d8b760b6790397215.SC2Replay
3019,LiquidMaNa,55,30264,725,8.0,101.0,790,Protoss,0,replays/4thRun\74a6a2b3078b4e9d8b760b6790397215.SC2Replay
3020,Gentleprobe,65,38958,3975,36.0,220.0,821,Protoss,1,replays/4thRun\74b5827f1ec348da84f67bac74472417.SC2Replay
